Date,CBRATE
1982Q3,10.25
1982Q4,8.50
1983Q1,8.63
1983Q2,9.00
1983Q3,9.38
1983Q4,9.38
1984Q1,10.50
1984Q2,10.50
1984Q3,11.00
1984Q4,8.13
1985Q1,8.50
1985Q2,7.75
1985Q3,8.00
1985Q4,7.75
1986Q1,7.25
1986Q2,6.88
1986Q3,5.88
1986Q4,5.88
1987Q1,6.00
1987Q2,6.75
1987Q3,7.31
1987Q4,6.81
1988Q1,6.75
1988Q2,7.44
1988Q3,8.13
1988Q4,8.69
1989Q1,9.75
1989Q2,9.50
1989Q3,9.00
1989Q4,8.25
1990Q1,8.25
1990Q2,8.25
1990Q3,8.00
1990Q4,7.00
1991Q1,6.00
1991Q2,5.75
1991Q3,5.25
1991Q4,4.00
1992Q1,4.00
1992Q2,3.75
1992Q3,3.00
1992Q4,3.00
1993Q1,3.00
1993Q2,3.00
1993Q3,3.00
1993Q4,3.00
1994Q1,3.50
1994Q2,4.25
1994Q3,4.75
1994Q4,5.50
1995Q1,6.00
1995Q2,6.00
1995Q3,5.75
1995Q4,5.50
1996Q1,5.25
1996Q2,5.25
1996Q3,5.25
1996Q4,5.25
1997Q1,5.50
1997Q2,5.50
1997Q3,5.50
1997Q4,5.50
1998Q1,5.50
1998Q2,5.50
1998Q3,5.25
1998Q4,4.75
1999Q1,4.75
1999Q2,5.00
1999Q3,5.25
1999Q4,5.50
2000Q1,6.00
2000Q2,6.50
2000Q3,6.50
2000Q4,6.50
2001Q1,5.31
2001Q2,3.97
2001Q3,3.27
2001Q4,1.83
2002Q1,1.75
2002Q2,1.75
2002Q3,1.75
2002Q4,1.25
2003Q1,1.25
2003Q2,1.00
2003Q3,1.00
2003Q4,1.00
2004Q1,1.00
2004Q2,1.25
2004Q3,1.75
2004Q4,2.25
2005Q1,2.75
2005Q2,3.25
2005Q3,3.75
2005Q4,4.25
2006Q1,4.75
2006Q2,5.25
2006Q3,5.25
2006Q4,5.25
2007Q1,5.25
2007Q2,5.25
2007Q3,4.75
2007Q4,4.25
2008Q1,2.25
2008Q2,2.00
2008Q3,2.00
2008Q4,0.13
2009Q1,0.13
2009Q2,0.13
2009Q3,0.13
2009Q4,0.13
2010Q1,0.13
2010Q2,0.13
2010Q3,0.13
2010Q4,0.13
2011Q1,0.13
2011Q2,0.13
2011Q3,0.13
2011Q4,0.13
2012Q1,0.13
2012Q2,0.13
2012Q3,0.13
2012Q4,0.13
2013Q1,0.13
2013Q2,0.13
2013Q3,0.13
2013Q4,0.13
2014Q1,0.13
2014Q2,0.13
2014Q3,0.13
2014Q4,0.13
2015Q1,0.13
2015Q2,0.13
2015Q3,0.13
2015Q4,0.38
2016Q1,0.38
2016Q2,0.38
2016Q3,0.38
