Dates,CPI
1957Q1,12.72
1957Q2,12.85
1957Q3,12.98
1957Q4,13.03
1958Q1,13.17
1958Q2,13.26
1958Q3,13.28
1958Q4,13.28
1959Q1,13.28
1959Q2,13.32
1959Q3,13.41
1959Q4,13.47
1960Q1,13.47
1960Q2,13.56
1960Q3,13.59
1960Q4,13.67
1961Q1,13.68
1961Q2,13.68
1961Q3,13.75
1961Q4,13.77
1962Q1,13.79
1962Q2,13.86
1962Q3,13.92
1962Q4,13.95
1963Q1,13.97
1963Q2,14.00
1963Q3,14.10
1963Q4,14.14
1964Q1,14.18
1964Q2,14.20
1964Q3,14.26
1964Q4,14.31
1965Q1,14.34
1965Q2,14.44
1965Q3,14.50
1965Q4,14.57
1966Q1,14.68
1966Q2,14.83
1966Q3,14.97
1966Q4,15.09
1967Q1,15.12
1967Q2,15.22
1967Q3,15.38
1967Q4,15.51
1968Q1,15.67
1968Q2,15.85
1968Q3,16.05
1968Q4,16.24
1969Q1,16.42
1969Q2,16.71
1969Q3,16.95
1969Q4,17.18
1970Q1,17.44
1970Q2,17.72
1970Q3,17.92
1970Q4,18.15
1971Q1,18.29
1971Q2,18.50
1971Q3,18.68
1971Q4,18.79
1972Q1,18.93
1972Q2,19.09
1972Q3,19.26
1972Q4,19.43
1973Q1,19.70
1973Q2,20.14
1973Q3,20.58
1973Q4,21.06
1974Q1,21.65
1974Q2,22.27
1974Q3,22.95
1974Q4,23.61
1975Q1,24.04
1975Q2,24.42
1975Q3,24.94
1975Q4,25.34
1976Q1,25.58
1976Q2,25.90
1976Q3,26.31
1976Q4,26.61
1977Q1,27.08
1977Q2,27.66
1977Q3,28.06
1977Q4,28.38
1978Q1,28.85
1978Q2,29.61
1978Q3,30.30
1978Q4,30.92
1979Q1,31.69
1979Q2,32.77
1979Q3,33.86
1979Q4,34.85
1980Q1,36.20
1980Q2,37.51
1980Q3,38.22
1980Q4,39.22
1981Q1,40.26
1981Q2,41.19
1981Q3,42.37
1981Q4,42.98
1982Q1,43.33
1982Q2,43.99
1982Q3,44.82
1982Q4,44.92
1983Q1,44.90
1983Q2,45.46
1983Q3,46.00
1983Q4,46.40
1984Q1,46.91
1984Q2,47.42
1984Q3,47.93
1984Q4,48.28
1985Q1,48.60
1985Q2,49.18
1985Q3,49.54
1985Q4,49.99
1986Q1,50.11
1986Q2,49.99
1986Q3,50.36
1986Q4,50.65
1987Q1,51.21
1987Q2,51.88
1987Q3,52.46
1987Q4,52.91
1988Q1,53.23
1988Q2,53.90
1988Q3,54.62
1988Q4,55.18
1989Q1,55.80
1989Q2,56.71
1989Q3,57.17
1989Q4,57.72
1990Q1,58.72
1990Q2,59.31
1990Q3,60.34
1990Q4,61.31
1991Q1,61.82
1991Q2,62.19
1991Q3,62.68
1991Q4,63.15
1992Q1,63.59
1992Q2,64.11
1992Q3,64.62
1992Q4,65.08
1993Q1,65.63
1993Q2,66.13
1993Q3,66.39
1993Q4,66.85
1994Q1,67.28
1994Q2,67.70
1994Q3,68.30
1994Q4,68.62
1995Q1,69.19
1995Q2,69.80
1995Q3,70.10
1995Q4,70.44
1996Q1,71.08
1996Q2,71.79
1996Q3,72.17
1996Q4,72.69
1997Q1,73.18
1997Q2,73.47
1997Q3,73.76
1997Q4,74.05
1998Q1,74.25
1998Q2,74.64
1998Q3,74.94
1998Q4,75.19
1999Q1,75.49
1999Q2,76.22
1999Q3,76.69
1999Q4,77.17
2000Q1,77.93
2000Q2,78.76
2000Q3,79.38
2000Q4,79.81
2001Q1,80.58
2001Q2,81.42
2001Q3,81.52
2001Q4,81.29
2002Q1,81.58
2002Q2,82.47
2002Q3,82.82
2002Q4,83.08
2003Q1,83.92
2003Q2,84.23
2003Q3,84.64
2003Q4,84.66
2004Q1,85.42
2004Q2,86.64
2004Q3,86.95
2004Q4,87.47
2005Q1,88.02
2005Q2,89.20
2005Q3,90.28
2005Q4,90.74
2006Q1,91.23
2006Q2,92.77
2006Q3,93.29
2006Q4,92.50
2007Q1,93.44
2007Q2,95.23
2007Q3,95.50
2007Q4,96.18
2008Q1,97.27
2008Q2,99.40
2008Q3,100.56
2008Q4,97.72
2009Q1,97.23
2009Q2,98.26
2009Q3,98.93
2009Q4,99.13
2010Q1,99.52
2010Q2,100.00
2010Q3,100.09
2010Q4,100.39
2011Q1,101.66
2011Q2,103.43
2011Q3,103.85
2011Q4,103.69
2012Q1,104.52
2012Q2,105.38
2012Q3,105.61
2012Q4,105.65
2013Q1,106.28
2013Q2,106.85
2013Q3,107.25
2013Q4,106.96
2014Q1,107.77
2014Q2,109.04
2014Q3,109.17
2014Q4,108.29
2015Q1,107.70
2015Q2,109.00
2015Q3,109.29
2015Q4,108.79
2016Q1,108.87
2016Q2,110.14
2016Q3,110.51
