DATE,DPHCRC1A027NBEA
1929-01-01,76.1
1930-01-01,68.8
1931-01-01,59.5
1932-01-01,47.7
1933-01-01,45
1934-01-01,50.6
1935-01-01,55
1936-01-01,61.2
1937-01-01,65.9
1938-01-01,63.3
1939-01-01,66.2
1940-01-01,70.2
1941-01-01,80
1942-01-01,87.7
1943-01-01,98.4
1944-01-01,107
1945-01-01,118.2
1946-01-01,142.3
1947-01-01,159.9
1948-01-01,172.7
1949-01-01,176.1
1950-01-01,189.8
1951-01-01,205.9
1952-01-01,216.6
1953-01-01,230
1954-01-01,236.7
1955-01-01,255.3
1956-01-01,267.8
1957-01-01,282.7
1958-01-01,291.7
1959-01-01,312.6
1960-01-01,326.5
1961-01-01,336.7
1962-01-01,357.6
1963-01-01,376.7
1964-01-01,404.8
1965-01-01,436.6
1966-01-01,473.1
1967-01-01,499.4
1968-01-01,548.7
1969-01-01,595
1970-01-01,637.2
1971-01-01,689.3
1972-01-01,756.6
1973-01-01,837.4
1974-01-01,916.5
1975-01-01,1015.7
1976-01-01,1131.2
1977-01-01,1256
1978-01-01,1403.2
1979-01-01,1563.4
1980-01-01,1724.6
1981-01-01,1903.4
1982-01-01,2035.9
1983-01-01,2245.8
1984-01-01,2452.8
1985-01-01,2674.8
1986-01-01,2845.8
1987-01-01,3036.4
1988-01-01,3283.6
1989-01-01,3524.8
1990-01-01,3749.8
1991-01-01,3880
1992-01-01,4127.7
1993-01-01,4380.9
1994-01-01,4643.3
1995-01-01,4881.9
1996-01-01,5158
1997-01-01,5455.1
1998-01-01,5779.2
1999-01-01,6168.8
2000-01-01,6634.4
2001-01-01,6924
2002-01-01,7185.7
2003-01-01,7560
2004-01-01,8053.6
2005-01-01,8583.8
2006-01-01,9064.8
2007-01-01,9501.7
2008-01-01,9731.5
2009-01-01,9571
2010-01-01,9926.8
2011-01-01,10414.3
2012-01-01,10757.8
2013-01-01,11056.3
2014-01-01,11549.8
2015-01-01,11955.8
