Dates,
1990Q1,63.96
1990Q2,64.22
1990Q3,64.54
1990Q4,65.35
1991Q1,65.14
1991Q2,64.75
1991Q3,64.45
1991Q4,64.67
1992Q1,64.88
1992Q2,65.35
1992Q3,65.49
1992Q4,65.65
1993Q1,65.94
1993Q2,66.23
1993Q3,66.31
1993Q4,66.49
1994Q1,67.03
1994Q2,67.51
1994Q3,68.09
1994Q4,68.98
1995Q1,70.76
1995Q2,71.89
1995Q3,72.09
1995Q4,71.79
1996Q1,71.81
1996Q2,71.79
1996Q3,72.25
1996Q4,71.74
1997Q1,72.11
1997Q2,72.39
1997Q3,72.35
1997Q4,72.45
1998Q1,72.10
1998Q2,71.89
1998Q3,71.93
1998Q4,71.42
1999Q1,70.82
1999Q2,70.87
1999Q3,71.35
1999Q4,71.75
2000Q1,72.53
2000Q2,73.32
2000Q3,73.40
2000Q4,73.85
2001Q1,73.98
2001Q2,74.15
2001Q3,73.82
2001Q4,72.84
2002Q1,72.69
2002Q2,73.04
2002Q3,73.83
2002Q4,74.09
2003Q1,74.79
2003Q2,75.02
2003Q3,75.01
2003Q4,75.89
2004Q1,77.42
2004Q2,79.39
2004Q3,80.03
2004Q4,80.75
2005Q1,82.11
2005Q2,82.95
2005Q3,83.75
2005Q4,84.84
2006Q1,85.57
2006Q2,86.60
2006Q3,87.96
2006Q4,88.69
2007Q1,89.82
2007Q2,91.70
2007Q3,92.30
2007Q4,93.92
2008Q1,96.67
2008Q2,100.34
2008Q3,103.31
2008Q4,98.35
2009Q1,96.17
2009Q2,95.42
2009Q3,95.55
2009Q4,96.38
2010Q1,97.82
2010Q2,99.42
2010Q3,100.45
2010Q4,102.31
2011Q1,105.19
2011Q2,107.77
2011Q3,108.48
2011Q4,107.63
2012Q1,108.12
2012Q2,108.39
2012Q3,108.62
2012Q4,108.45
2013Q1,108.30
2013Q2,108.08
2013Q3,108.23
2013Q4,108.05
2014Q1,109.09
2014Q2,109.52
2014Q3,109.25
2014Q4,107.88
2015Q1,106.15
2015Q2,105.53
