Date,IMPPRICE
1957Q1,15.34
1957Q2,15.26
1957Q3,15.17
1957Q4,14.92
1958Q1,14.70
1958Q2,14.54
1958Q3,14.39
1958Q4,14.28
1959Q1,14.13
1959Q2,14.15
1959Q3,14.18
1959Q4,14.39
1960Q1,14.42
1960Q2,14.43
1960Q3,14.45
1960Q4,14.28
1961Q1,14.24
1961Q2,14.19
1961Q3,14.19
1961Q4,14.18
1962Q1,13.98
1962Q2,13.97
1962Q3,13.83
1962Q4,13.80
1963Q1,13.86
1963Q2,13.92
1963Q3,14.01
1963Q4,14.13
1964Q1,14.37
1964Q2,14.45
1964Q3,14.37
1964Q4,14.42
1965Q1,14.48
1965Q2,14.36
1965Q3,14.45
1965Q4,14.64
1966Q1,14.66
1966Q2,14.88
1966Q3,14.87
1966Q4,15.08
1967Q1,15.08
1967Q2,14.99
1967Q3,15.00
1967Q4,14.94
1968Q1,15.06
1968Q2,15.23
1968Q3,15.11
1968Q4,15.30
1969Q1,15.35
1969Q2,15.43
1969Q3,15.55
1969Q4,16.16
1970Q1,16.40
1970Q2,16.48
1970Q3,16.88
1970Q4,17.00
1971Q1,17.36
1971Q2,17.40
1971Q3,17.57
1971Q4,17.85
1972Q1,18.13
1972Q2,18.73
1972Q3,18.98
1972Q4,19.42
1973Q1,20.14
1973Q2,21.88
1973Q3,22.68
1973Q4,24.74
1974Q1,28.68
1974Q2,32.71
1974Q3,34.93
1974Q4,36.14
1975Q1,36.46
1975Q2,36.82
1975Q3,35.57
1975Q4,35.57
1976Q1,36.34
1976Q2,37.02
1976Q3,37.55
1976Q4,37.95
1977Q1,39.12
1977Q2,40.17
1977Q3,40.65
1977Q4,40.77
1978Q1,42.34
1978Q2,43.63
1978Q3,43.91
1978Q4,44.84
1979Q1,46.49
1979Q2,48.95
1979Q3,52.70
1979Q4,56.77
1980Q1,62.33
1980Q2,64.82
1980Q3,66.31
1980Q4,67.60
1981Q1,70.30
1981Q2,69.94
1981Q3,67.70
1981Q4,67.08
1982Q1,68.85
1982Q2,67.48
1982Q3,66.69
1982Q4,66.43
1983Q1,65.49
1983Q2,64.42
1983Q3,64.51
1983Q4,65.02
1984Q1,65.51
1984Q2,66.23
1984Q3,66.23
1984Q4,66.03
1985Q1,64.49
1985Q2,64.14
1985Q3,64.02
1985Q4,64.82
1986Q1,63.37
1986Q2,61.44
1986Q3,61.32
1986Q4,62.93
1987Q1,63.84
1987Q2,65.83
1987Q3,68.29
1987Q4,68.19
1988Q1,68.52
1988Q2,70.33
1988Q3,69.42
1988Q4,70.81
1989Q1,71.83
1989Q2,72.59
1989Q3,71.21
1989Q4,71.91
1990Q1,73.01
1990Q2,71.95
1990Q3,74.00
1990Q4,77.89
1991Q1,75.42
1991Q2,73.76
1991Q3,73.50
1991Q4,74.38
1992Q1,74.11
1992Q2,74.24
1992Q3,75.43
1992Q4,75.45
1993Q1,74.45
1993Q2,75.24
1993Q3,74.51
1993Q4,74.35
1994Q1,73.98
1994Q2,75.32
1994Q3,76.77
1994Q4,77.50
1995Q1,78.34
1995Q2,79.95
1995Q3,79.58
1995Q4,79.40
1996Q1,79.87
1996Q2,80.18
1996Q3,79.68
1996Q4,80.74
1997Q1,79.76
1997Q2,77.92
1997Q3,77.63
1997Q4,77.27
1998Q1,74.93
1998Q2,73.80
1998Q3,72.69
1998Q4,72.32
1999Q1,72.03
1999Q2,73.19
1999Q3,74.77
1999Q4,76.27
2000Q1,78.19
2000Q2,78.21
2000Q3,79.45
2000Q4,79.63
2001Q1,78.53
2001Q2,77.13
2001Q3,75.71
2001Q4,72.93
2002Q1,72.56
2002Q2,74.35
2002Q3,74.87
2002Q4,75.00
2003Q1,77.42
2003Q2,75.58
2003Q3,76.14
2003Q4,76.40
2004Q1,78.50
2004Q2,79.92
2004Q3,81.45
2004Q4,82.89
2005Q1,83.58
2005Q2,85.68
2005Q3,88.60
2005Q4,89.15
2006Q1,89.18
2006Q2,91.91
2006Q3,92.86
2006Q4,89.96
2007Q1,90.36
2007Q2,93.62
2007Q3,95.80
2007Q4,99.48
2008Q1,103.11
2008Q2,111.47
2008Q3,112.60
2008Q4,95.72
2009Q1,89.28
2009Q2,92.44
2009Q3,95.09
2009Q4,97.48
2010Q1,99.38
2010Q2,99.80
2010Q3,99.01
2010Q4,101.82
2011Q1,107.16
2011Q2,112.57
2011Q3,111.99
2011Q4,111.89
2012Q1,112.68
2012Q2,111.68
2012Q3,109.87
2012Q4,110.63
2013Q1,111.10
2013Q2,110.00
2013Q3,109.92
2013Q4,108.95
2014Q1,110.05
2014Q2,110.50
2014Q3,109.63
2014Q4,105.05
2015Q1,99.06
2015Q2,99.43
2015Q3,97.40
2015Q4,95.06
2016Q1,92.72
2016Q2,94.41
2016Q3,95.14
