DATE,IPB50001NQ
1919-01-01,4.8063
1919-04-01,4.9460
1919-07-01,5.4490
1919-10-01,5.2813
1920-01-01,5.7191
1920-04-01,5.5887
1920-07-01,5.4303
1920-10-01,4.7224
1921-01-01,4.0052
1921-04-01,4.0518
1921-07-01,4.1077
1921-10-01,4.3312
1922-01-01,4.7131
1922-04-01,5.0671
1922-07-01,5.2720
1922-10-01,5.9613
1923-01-01,6.0917
1923-04-01,6.5388
1923-07-01,6.3338
1923-10-01,6.0730
1924-01-01,6.1196
1924-04-01,5.7377
1924-07-01,5.5980
1924-10-01,5.9985
1925-01-01,6.3245
1925-04-01,6.4177
1925-07-01,6.4456
1925-10-01,6.6319
1926-01-01,6.6505
1926-04-01,6.7902
1926-07-01,6.9858
1926-10-01,6.9486
1927-01-01,6.9486
1927-04-01,7.0138
1927-07-01,6.8554
1927-10-01,6.5574
1928-01-01,6.7716
1928-04-01,7.0231
1928-07-01,7.2653
1928-10-01,7.4050
1929-01-01,7.7031
1929-04-01,8.2060
1929-07-01,8.1967
1929-10-01,7.4609
1930-01-01,7.0510
1930-04-01,7.0697
1930-07-01,6.3618
1930-10-01,5.7750
1931-01-01,5.6446
1931-04-01,5.8681
1931-07-01,5.3931
1931-10-01,4.8249
1932-01-01,4.5455
1932-04-01,4.1636
1932-07-01,4.0238
1932-10-01,4.2847
1933-01-01,4.0518
1933-04-01,5.0019
1933-07-01,5.9426
1933-10-01,5.0671
1934-01-01,5.4117
1934-04-01,5.8867
1934-07-01,5.2906
1934-10-01,5.2627
1935-01-01,6.0544
1935-04-01,6.0637
1935-07-01,6.2873
1935-10-01,6.8182
1936-01-01,6.6040
1936-04-01,7.3119
1936-07-01,7.6751
1936-10-01,8.2060
1937-01-01,8.3271
1937-04-01,8.7090
1937-07-01,8.5134
1937-10-01,7.0697
1938-01-01,5.9892
1938-04-01,5.8867
1938-07-01,6.6226
1938-10-01,7.2653
1939-01-01,7.3771
1939-04-01,7.3398
1939-07-01,7.9266
1939-10-01,9.0350
1940-01-01,8.6252
1940-04-01,8.7183
1940-07-01,9.2586
1940-10-01,9.9851
1941-01-01,10.7209
1941-04-01,11.3450
1941-07-01,11.8480
1941-10-01,12.2578
1942-01-01,12.7515
1942-04-01,12.5373
1942-07-01,13.2545
1942-10-01,14.4095
1943-01-01,15.1919
1943-04-01,15.6856
1943-07-01,16.3935
1943-10-01,17.0175
1944-01-01,17.3994
1944-04-01,17.4832
1944-07-01,17.2690
1944-10-01,17.0268
1945-01-01,16.9523
1945-04-01,16.3096
1945-07-01,13.8972
1945-10-01,12.2206
1946-01-01,11.8666
1946-04-01,12.2113
1946-07-01,13.2824
1946-10-01,13.8040
1947-01-01,14.2884
1947-04-01,14.1207
1947-07-01,14.1487
1947-10-01,14.9777
1948-01-01,14.8752
1948-04-01,14.8100
1948-07-01,15.0056
1948-10-01,15.2757
1949-01-01,14.5399
1949-04-01,13.8879
1949-07-01,13.9996
1949-10-01,14.2418
1950-01-01,14.8193
1950-04-01,15.8625
1950-07-01,17.0827
1950-10-01,17.8279
1951-01-01,18.0235
1951-04-01,17.9117
1951-07-01,17.3622
1951-10-01,17.8465
1952-01-01,18.2005
1952-04-01,17.7534
1952-07-01,18.1259
1952-10-01,19.7932
1953-01-01,20.2217
1953-04-01,20.3894
1953-07-01,20.0168
1953-10-01,19.4765
1954-01-01,18.8804
1954-04-01,18.7873
1954-07-01,18.5544
1954-10-01,19.5417
1955-01-01,20.4918
1955-04-01,21.3487
1955-07-01,21.2370
1955-10-01,22.3454
1956-01-01,22.2616
1956-04-01,22.3081
1956-07-01,21.6841
1956-10-01,22.9322
1957-01-01,23.0160
1957-04-01,22.7925
1957-07-01,22.5410
1957-10-01,22.0008
1958-01-01,20.5943
1958-04-01,20.3707
1958-07-01,21.2090
1958-10-01,22.4292
1959-01-01,23.2396
1959-04-01,24.5995
1959-07-01,23.2116
1959-10-01,23.6215
1960-01-01,24.8324
1960-04-01,24.6274
1960-07-01,23.8078
1960-10-01,23.5004
1961-01-01,22.9043
1961-04-01,24.2549
1961-07-01,24.5809
1961-10-01,25.6800
1962-01-01,25.8011
1962-04-01,26.5555
1962-07-01,26.3320
1962-10-01,26.8257
1963-01-01,27.1330
1963-04-01,28.2508
1963-07-01,27.7292
1963-10-01,28.6606
1964-01-01,28.9121
1964-04-01,30.0112
1964-07-01,29.7318
1964-10-01,30.6539
1965-01-01,31.7251
1965-04-01,32.8708
1965-07-01,32.6751
1965-10-01,33.9512
1966-01-01,34.7336
1966-04-01,35.8979
1966-07-01,35.6278
1966-10-01,36.5499
1967-01-01,36.0513
1967-04-01,36.4202
1967-07-01,36.0588
1967-10-01,37.3229
1968-01-01,37.6749
1968-04-01,38.7185
1968-07-01,38.2875
1968-10-01,39.3083
1969-01-01,39.8133
1969-04-01,40.5524
1969-07-01,40.3568
1969-10-01,40.4106
1970-01-01,39.1762
1970-04-01,39.5679
1970-07-01,38.8887
1970-10-01,38.1429
1971-01-01,38.7188
1971-04-01,39.6912
1971-07-01,39.3025
1971-10-01,40.2469
1972-01-01,41.6125
1972-04-01,43.2644
1972-07-01,43.0801
1972-10-01,45.1866
1973-01-01,45.9107
1973-04-01,46.9659
1973-07-01,46.6322
1973-10-01,47.8304
1974-01-01,46.8528
1974-04-01,47.5415
1974-07-01,46.8767
1974-10-01,45.5159
1975-01-01,41.9419
1975-04-01,41.9700
1975-07-01,42.4621
1975-10-01,43.7663
1976-01-01,44.8126
1976-04-01,45.8759
1976-07-01,45.7647
1976-10-01,47.0983
1977-01-01,47.8634
1977-04-01,49.8698
1977-07-01,49.5080
1977-10-01,50.3407
1978-01-01,50.0811
1978-04-01,52.6697
1978-07-01,52.0798
1978-10-01,53.6159
1979-01-01,53.7994
1979-04-01,53.9502
1979-07-01,53.1335
1979-10-01,53.7818
1980-01-01,53.9668
1980-04-01,51.7662
1980-07-01,50.5682
1980-10-01,52.8250
1981-01-01,53.0862
1981-04-01,53.1461
1981-07-01,53.2086
1981-10-01,52.4025
1982-01-01,51.5675
1982-04-01,50.6177
1982-07-01,49.7214
1982-10-01,48.9470
1983-01-01,49.8789
1983-04-01,50.7070
1983-07-01,52.2007
1983-10-01,53.5733
1984-01-01,55.7419
1984-04-01,56.2555
1984-07-01,56.3675
1984-10-01,56.3981
1985-01-01,57.1880
1985-04-01,56.8394
1985-07-01,56.6018
1985-10-01,56.8994
1986-01-01,57.7398
1986-04-01,57.1862
1986-07-01,57.1892
1986-10-01,57.7070
1987-01-01,59.0637
1987-04-01,59.7346
1987-07-01,60.8090
1987-10-01,62.1480
1988-01-01,63.0839
1988-04-01,63.4805
1988-07-01,63.7977
1988-10-01,63.9993
1989-01-01,64.3532
1989-04-01,64.3252
1989-07-01,63.9125
1989-10-01,64.0400
1990-01-01,64.5374
1990-04-01,64.8465
1990-07-01,65.5690
1990-10-01,64.2496
1991-01-01,62.9729
1991-04-01,63.4783
1991-07-01,64.5964
1991-10-01,64.2712
1992-01-01,64.3771
1992-04-01,65.3704
1992-07-01,66.1360
1992-10-01,66.7709
1993-01-01,67.3205
1993-04-01,67.3025
1993-07-01,67.9425
1993-10-01,68.6907
1994-01-01,69.6158
1994-04-01,70.7011
1994-07-01,71.9133
1994-10-01,73.2034
1995-01-01,74.0065
1995-04-01,73.9124
1995-07-01,75.2516
1995-10-01,75.5383
1996-01-01,76.0288
1996-04-01,77.3809
1996-07-01,79.0145
1996-10-01,79.8436
1997-01-01,81.1747
1997-04-01,82.3340
1997-07-01,84.2428
1997-10-01,86.9063
1998-01-01,87.5189
1998-04-01,87.6340
1998-07-01,88.7982
1998-10-01,90.2261
1999-01-01,91.0350
1999-04-01,91.7919
1999-07-01,92.6728
1999-10-01,94.4065
2000-01-01,95.0954
2000-04-01,96.4464
2000-07-01,96.5148
2000-10-01,96.2761
2001-01-01,94.7963
2001-04-01,93.5169
2001-07-01,92.8557
2001-10-01,91.1772
2002-01-01,91.7697
2002-04-01,93.7066
2002-07-01,94.4380
2002-10-01,93.5965
2003-01-01,94.2764
2003-04-01,93.8773
2003-07-01,94.7878
2003-10-01,95.1085
2004-01-01,95.7625
2004-04-01,96.5990
2004-07-01,97.5911
2004-10-01,98.0675
2005-01-01,99.2156
2005-04-01,100.5817
2005-07-01,100.6100
2005-10-01,100.2952
2006-01-01,100.9365
2006-04-01,102.2850
2006-07-01,103.8258
2006-10-01,102.5890
2007-01-01,103.1876
2007-04-01,105.2476
2007-07-01,106.4084
2007-10-01,105.0685
2008-01-01,104.1420
2008-04-01,103.7068
2008-07-01,101.4035
2008-10-01,95.7441
2009-01-01,90.1971
2009-04-01,87.6475
2009-07-01,90.2533
2009-10-01,90.3093
2010-01-01,92.0462
2010-04-01,94.1038
2010-07-01,96.4654
2010-10-01,95.4475
2011-01-01,96.0094
2011-04-01,96.3668
2011-07-01,98.6572
2011-10-01,98.1061
2012-01-01,99.0210
2012-04-01,99.7615
2012-07-01,101.0059
2012-10-01,100.2117
2013-01-01,100.9313
2013-04-01,101.5351
2013-07-01,102.9229
2013-10-01,102.2610
2014-01-01,103.0792
2014-04-01,104.4804
2014-07-01,106.2806
2014-10-01,105.7236
2015-01-01,105.4718
2015-04-01,104.9639
2015-07-01,106.4888
2015-10-01,103.9316
2016-01-01,103.4591
2016-04-01,104.0239
2016-07-01,105.5741
