Dates,IPC
Ene 1990,444.75
Feb 1990,473.02
Mar 1990,489.62
Abr 1990,525.61
May 1990,650.29
Jun 1990,615.33
Jul 1990,673.14
Ago 1990,580.98
Sep 1990,522.08
Oct 1990,611.38
Nov 1990,626.71
Dic 1990,628.79
Ene 1991,622.99
Feb 1991,659.17
Mar 1991,803.35
Abr 1991,901.14
May 1991,"1,096.17"
Jun 1991,"1,058.02"
Jul 1991,"1,193.65"
Ago 1991,"1,254.60"
Sep 1991,"1,257.27"
Oct 1991,"1,371.01"
Nov 1991,"1,384.18"
Dic 1991,"1,431.46"
Ene 1992,"1,623.47"
Feb 1992,"1,860.63"
Mar 1992,"1,875.73"
Abr 1992,"1,838.30"
May 1992,"1,892.33"
Jun 1992,"1,599.26"
Jul 1992,"1,569.73"
Ago 1992,"1,400.37"
Sep 1992,"1,327.07"
Oct 1992,"1,597.33"
Nov 1992,"1,715.69"
Dic 1992,"1,759.44"
Ene 1993,"1,653.22"
Feb 1993,"1,546.68"
Mar 1993,"1,771.71"
Abr 1993,"1,665.41"
May 1993,"1,612.99"
Jun 1993,"1,670.29"
Jul 1993,"1,769.71"
Ago 1993,"1,905.59"
Sep 1993,"1,840.72"
Oct 1993,"2,020.26"
Nov 1993,"2,215.69"
Dic 1993,"2,602.63"
Ene 1994,"2,781.37"
Feb 1994,"2,585.44"
Mar 1994,"2,410.40"
Abr 1994,"2,294.10"
May 1994,"2,483.70"
Jun 1994,"2,262.60"
Jul 1994,"2,462.30"
Ago 1994,"2,702.70"
Sep 1994,"2,746.10"
Oct 1994,"2,552.10"
Nov 1994,"2,591.30"
Dic 1994,"2,375.70"
Ene 1995,"2,094.00"
Feb 1995,"1,549.80"
Mar 1995,"1,832.80"
Abr 1995,"1,960.50"
May 1995,"1,945.10"
Jun 1995,"2,196.10"
Jul 1995,"2,375.20"
Ago 1995,"2,517.00"
Sep 1995,"2,392.30"
Oct 1995,"2,302.00"
Nov 1995,"2,689.00"
Dic 1995,"2,778.50"
Ene 1996,"3,034.70"
Feb 1996,"2,832.50"
Mar 1996,"3,072.40"
Abr 1996,"3,187.20"
May 1996,"3,205.50"
Jun 1996,"3,210.80"
Jul 1996,"3,007.20"
Ago 1996,"3,305.50"
Sep 1996,"3,236.30"
Oct 1996,"3,213.30"
Nov 1996,"3,291.70"
Dic 1996,"3,361.00"
Ene 1997,"3,647.20"
Feb 1997,"3,841.00"
Mar 1997,"3,748.00"
Abr 1997,"3,756.60"
May 1997,"3,968.81"
Jun 1997,"4,458.00"
Jul 1997,"5,067.80"
Ago 1997,"4,648.40"
Sep 1997,"5,321.50"
Oct 1997,"4,647.84"
Nov 1997,"4,974.57"
Dic 1997,"5,229.35"
Ene 1998,"4,569.36"
Feb 1998,"4,784.45"
Mar 1998,"5,016.22"
Abr 1998,"5,098.53"
May 1998,"4,530.01"
Jun 1998,"4,282.62"
Jul 1998,"4,244.96"
Ago 1998,"2,991.93"
Sep 1998,"3,569.88"
Oct 1998,"4,074.86"
Nov 1998,"3,769.88"
Dic 1998,"3,959.66"
Ene 1999,"3,957.93"
Feb 1999,"4,260.80"
Mar 1999,"4,930.37"
Abr 1999,"5,414.45"
May 1999,"5,477.65"
Jun 1999,"5,829.51"
Jul 1999,"5,260.35"
Ago 1999,"5,086.87"
Sep 1999,"5,050.46"
Oct 1999,"5,450.37"
Nov 1999,"6,136.47"
Dic 1999,"7,129.88"
Ene 2000,"6,585.67"
Feb 2000,"7,368.55"
Mar 2000,"7,473.25"
Abr 2000,"6,640.68"
May 2000,"5,961.14"
Jun 2000,"6,948.33"
Jul 2000,"6,514.21"
Ago 2000,"6,664.82"
Sep 2000,"6,334.56"
Oct 2000,"6,394.24"
Nov 2000,"5,652.63"
Dic 2000,"5,652.19"
Ene 2001,"6,496.89"
Feb 2001,"6,032.10"
Mar 2001,"5,727.89"
Abr 2001,"5,987.25"
May 2001,"6,595.39"
Jun 2001,"6,666.17"
Jul 2001,"6,474.40"
Ago 2001,"6,310.70"
Sep 2001,"5,403.53"
Oct 2001,"5,537.04"
Nov 2001,"5,832.83"
Dic 2001,"6,372.28"
Ene 2002,"6,927.87"
Feb 2002,"6,734.44"
Mar 2002,"7,361.86"
Abr 2002,"7,480.74"
May 2002,"7,031.64"
Jun 2002,"6,460.95"
Jul 2002,"6,021.84"
Ago 2002,"6,216.43"
Sep 2002,"5,728.46"
Oct 2002,"5,967.73"
Nov 2002,"6,156.83"
Dic 2002,"6,127.09"
Ene 2003,"5,954.35"
Feb 2003,"5,927.06"
