Dates,MX_MINP
1990Q1,82.27
1990Q2,82.40
1990Q3,84.59
1990Q4,85.95
1991Q1,80.18
1991Q2,86.42
1991Q3,85.21
1991Q4,85.25
1992Q1,83.55
1992Q2,84.57
1992Q3,87.61
1992Q4,84.47
1993Q1,84.06
1993Q2,85.10
1993Q3,86.07
1993Q4,88.59
1994Q1,85.81
1994Q2,88.51
1994Q3,88.53
1994Q4,89.62
1995Q1,85.50
1995Q2,85.75
1995Q3,86.44
1995Q4,85.38
1996Q1,91.40
1996Q2,92.23
1996Q3,92.00
1996Q4,95.98
1997Q1,92.57
1997Q2,97.22
1997Q3,97.99
1997Q4,99.71
1998Q1,98.79
1998Q2,100.65
1998Q3,99.25
1998Q4,99.42
1999Q1,97.81
1999Q2,97.40
1999Q3,97.42
1999Q4,97.16
2000Q1,99.62
2000Q2,103.07
2000Q3,103.48
2000Q4,98.48
2001Q1,103.73
2001Q2,103.14
2001Q3,103.69
2001Q4,100.05
2002Q1,99.64
2002Q2,104.59
2002Q3,104.43
2002Q4,103.61
2003Q1,104.92
2003Q2,106.60
2003Q3,109.90
2003Q4,110.08
2004Q1,109.26
2004Q2,110.26
2004Q3,109.76
2004Q4,108.97
2005Q1,106.88
2005Q2,112.07
2005Q3,109.18
2005Q4,110.45
2006Q1,109.15
2006Q2,109.87
2006Q3,109.58
2006Q4,106.85
2007Q1,107.38
2007Q2,109.48
2007Q3,106.99
2007Q4,105.36
2008Q1,103.61
2008Q2,102.72
2008Q3,103.25
2008Q4,103.65
2009Q1,99.01
2009Q2,99.38
2009Q3,99.20
2009Q4,98.93
2010Q1,99.00
2010Q2,101.13
2010Q3,100.79
2010Q4,99.11
2011Q1,98.31
2011Q2,99.81
2011Q3,99.36
2011Q4,100.98
2012Q1,99.13
2012Q2,100.18
2012Q3,101.02
2012Q4,101.66
2013Q1,99.12
2013Q2,99.24
2013Q3,100.67
2013Q4,102.38
2014Q1,99.80
2014Q2,99.18
2014Q3,99.39
2014Q4,96.96
2015Q1,94.23
2015Q2,91.65
2015Q3,93.83
2015Q4,92.57
2016Q1,91.25
2016Q2,87.60
