Date,MMRate
1990Q1,47.04
1990Q2,40.16
1990Q3,32.43
1990Q4,29.82
1991Q1,26.61
1991Q2,24.31
1991Q3,23.63
1991Q4,19.77
1992Q1,15.82
1992Q2,16.29
1992Q3,19.90
1992Q4,23.45
1993Q1,20.99
1993Q2,18.12
1993Q3,16.41
1993Q4,14.02
1994Q1,10.17
1994Q2,18.40
1994Q3,17.44
1994Q4,19.85
1995Q1,89.48
1995Q2,65.06
1995Q3,38.69
1995Q4,50.47
1996Q1,41.90
1996Q2,32.34
1996Q3,29.89
1996Q4,30.29
1997Q1,24.01
1997Q2,22.39
1997Q3,20.46
1997Q4,20.78
1998Q1,20.65
1998Q2,20.64
1998Q3,29.90
1998Q4,36.37
1999Q1,31.63
1999Q2,22.89
1999Q3,22.43
1999Q4,19.46
2000Q1,17.49
2000Q2,16.03
2000Q3,16.17
2000Q4,18.14
2001Q1,18.01
2001Q2,14.03
2001Q3,10.45
2001Q4,9.06
2002Q1,8.48
2002Q2,7.67
2002Q3,8.11
2002Q4,8.42
2003Q1,9.67
2003Q2,6.76
2003Q3,5.11
2003Q4,5.78
2004Q1,5.88
2004Q2,6.71
2004Q3,7.46
2004Q4,8.53
2005Q1,9.41
2005Q2,10.05
2005Q3,9.88
2005Q4,9.03
2006Q1,8.02
2006Q2,7.39
2006Q3,7.31
2006Q4,7.32
2007Q1,7.44
2007Q2,7.62
2007Q3,7.70
2007Q4,7.86
2008Q1,7.93
2008Q2,7.96
2008Q3,8.50
2008Q4,8.72
2009Q1,8.00
2009Q2,5.91
2009Q3,4.91
2009Q4,4.92
2010Q1,4.92
2010Q2,4.94
2010Q3,4.91
2010Q4,4.88
2011Q1,4.85
2011Q2,4.85
2011Q3,4.80
2011Q4,4.80
2012Q1,4.78
2012Q2,4.75
2012Q3,4.79
2012Q4,4.83
2013Q1,4.71
2013Q2,4.32
2013Q3,4.24
2013Q4,3.85
2014Q1,3.79
2014Q2,3.68
2014Q3,3.30
2014Q4,3.29
2015Q1,3.30
2015Q2,3.30
2015Q3,3.32
2015Q4,3.35
2016Q1,3.79
2016Q2,4.08
2016Q3,4.59
