Fecha,Tipo de Cambio
Ene 1990,2.6750
Feb 1990,2.7030
Mar 1990,2.7330
Abr 1990,2.7640
May 1990,2.7946
Jun 1990,2.8178
Jul 1990,2.8434
Ago 1990,2.8682
Sep 1990,2.8906
Oct 1990,2.9170
Nov 1990,2.9342
Dic 1990,2.9454
Ene 1991,2.9590
Feb 1991,2.9702
Mar 1991,2.9810
Abr 1991,2.9946
May 1991,3.0070
Jun 1991,3.0182
Jul 1991,3.0314
Ago 1991,3.0434
Sep 1991,3.0558
Oct 1991,3.0682
Nov 1991,3.0731
Dic 1991,3.0710
Ene 1992,3.0660
Feb 1992,3.0608
Mar 1992,3.0835
Abr 1992,3.0790
May 1992,3.1134
Jun 1992,3.1225
Jul 1992,3.1141
Ago 1992,3.0810
Sep 1992,3.1161
Oct 1992,3.1321
Nov 1992,3.1159
Dic 1992,3.1154
Ene 1993,3.0939
Feb 1993,3.0938
Mar 1993,3.0976
Abr 1993,3.1022
May 1993,3.1227
Jun 1993,3.1212
Jul 1993,3.1189
Ago 1993,3.1145
Sep 1993,3.1178
Oct 1993,3.1176
Nov 1993,3.1125
Dic 1993,3.1059
Ene 1994,3.1063
Feb 1994,3.2075
Mar 1994,3.3598
Abr 1994,3.2673
May 1994,3.3145
Jun 1994,3.3918
Jul 1994,3.4019
Ago 1994,3.3794
Sep 1994,3.4040
Oct 1994,3.4300
Nov 1994,3.4498
Dic 1994,5.3250
Ene 1995,5.6950
Feb 1995,5.8375
Mar 1995,6.8175
Abr 1995,5.7850
May 1995,6.1775
Jun 1995,6.3092
Jul 1995,6.0882
Ago 1995,6.3114
Sep 1995,6.4195
Oct 1995,7.1717
Nov 1995,7.6517
Dic 1995,7.6425
Ene 1996,7.3908
Feb 1996,7.5390
Mar 1996,7.5479
Abr 1996,7.4042
May 1996,7.4095
Jun 1996,7.6108
Jul 1996,7.6135
Ago 1996,7.4930
Sep 1996,7.5374
Oct 1996,7.9172
Nov 1996,7.8700
Dic 1996,7.8509
Ene 1997,7.8393
Feb 1997,7.7844
Mar 1997,7.8905
Abr 1997,7.9267
May 1997,7.9085
Jun 1997,7.9577
Jul 1997,7.8088
Ago 1997,7.7548
Sep 1997,7.8199
Oct 1997,8.1033
Nov 1997,8.2000
Dic 1997,8.0833
Ene 1998,8.3603
Feb 1998,8.5832
Mar 1998,8.5165
Abr 1998,8.4818
May 1998,8.8802
Jun 1998,9.0407
Jul 1998,8.9178
Ago 1998,9.9600
Sep 1998,10.1062
Oct 1998,10.1575
Nov 1998,9.9404
Dic 1998,9.8650
Ene 1999,10.1745
Feb 1999,9.9357
Mar 1999,9.5158
Abr 1999,9.2871
May 1999,9.7498
Jun 1999,9.4875
Jul 1999,9.3827
Ago 1999,9.3819
Sep 1999,9.3582
Oct 1999,9.6504
Nov 1999,9.3550
Dic 1999,9.5143
Ene 2000,9.5123
Feb 2000,9.3748
Mar 2000,9.2331
Abr 2000,9.4073
May 2000,9.5326
Jun 2000,9.9538
Jul 2000,9.3610
Ago 2000,9.2317
Sep 2000,9.4088
Oct 2000,9.6443
Nov 2000,9.4058
Dic 2000,9.5722
Ene 2001,9.6687
Feb 2001,9.6618
Mar 2001,9.5380
Abr 2001,9.2671
May 2001,9.0851
Jun 2001,9.0608
Jul 2001,9.1920
Ago 2001,9.1438
Sep 2001,9.5258
Oct 2001,9.2421
Nov 2001,9.2762
Dic 2001,9.1423
Ene 2002,9.1714
Feb 2002,9.0815
Mar 2002,9.0298
Abr 2002,9.3196
May 2002,9.6134
Jun 2002,9.9998
Jul 2002,9.6944
Ago 2002,9.8990
Sep 2002,10.1667
Oct 2002,10.1593
Nov 2002,10.1496
Dic 2002,10.3125
Ene 2003,10.9863
Feb 2003,11.0329
Mar 2003,10.7671
Abr 2003,10.4304
May 2003,10.4063
Jun 2003,10.4808
Jul 2003,10.4878
Ago 2003,10.9337
Sep 2003,10.9272
Oct 2003,11.1078
Nov 2003,11.3522
Dic 2003,11.2360
Ene 2004,10.9145
Feb 2004,11.0932
Mar 2004,11.1540
Abr 2004,11.3387
May 2004,11.4515
Jun 2004,11.4116
Jul 2004,11.4801
Ago 2004,11.3739
Sep 2004,11.4106
Oct 2004,11.5118
Nov 2004,11.2470
Dic 2004,11.2648
Ene 2005,11.2991
Feb 2005,11.0955
Mar 2005,11.2942
Abr 2005,11.1033
May 2005,10.9030
Jun 2005,10.8428
Jul 2005,10.6430
Ago 2005,10.8936
Sep 2005,10.8495
Oct 2005,10.9092
Nov 2005,10.5670
Dic 2005,10.7777
Ene 2006,10.4598
Feb 2006,10.4761
Mar 2006,10.9510
Abr 2006,11.1578
May 2006,11.1303
Jun 2006,11.3973
Jul 2006,10.8968
Ago 2006,10.9047
Sep 2006,11.0152
Oct 2006,10.7093
Nov 2006,11.0454
Dic 2006,10.8810
Ene 2007,11.0855
Feb 2007,11.0790
Mar 2007,11.0813
Abr 2007,10.9312
May 2007,10.7873
Jun 2007,10.8661
Jul 2007,10.9973
Ago 2007,11.1062
Sep 2007,10.9243
Oct 2007,10.7112
Nov 2007,10.9345
Dic 2007,10.8662
Ene 2008,10.8444
Feb 2008,10.7344
Mar 2008,10.6962
Abr 2008,10.4464
May 2008,10.3447
Jun 2008,10.2841
Jul 2008,10.0610
Ago 2008,10.1421
Sep 2008,10.7919
Oct 2008,12.9142
Nov 2008,13.2117
Dic 2008,13.5383
Ene 2009,14.1513
Feb 2009,14.9275
Mar 2009,14.3317
Abr 2009,13.8667
May 2009,13.1590
Jun 2009,13.2023
Jul 2009,13.2643
Ago 2009,13.2462
Sep 2009,13.5042
Oct 2009,13.2823
Nov 2009,12.9475
Dic 2009,13.0587
Ene 2010,12.9295
Feb 2010,12.8539
Mar 2010,12.4640
Abr 2010,12.3698
May 2010,12.8846
Jun 2010,12.6567
Jul 2010,12.6798
Ago 2010,13.0148
Sep 2010,12.5011
Oct 2010,12.4776
Nov 2010,12.4890
