Dates,M1,M2,M3,M4,Base
1990Q1,"28,787.02","202,623.58","203,888.38","213,682.20",-0.32
1990Q2,"33,694.01","223,249.20","224,724.50","235,041.03",20.93
1990Q3,"33,767.61","238,983.36","240,711.70","253,315.64",33.69
1990Q4,"50,958.04","271,243.66","277,789.63","293,687.73",35.30
1991Q1,"49,337.04","278,633.54","292,880.52","312,839.16",43.69
1991Q2,"54,194.60","298,138.60","314,373.03","338,037.93",40.89
1991Q3,"64,265.83","304,780.19","322,270.78","347,526.75",33.69
1991Q4,"113,633.66","339,051.10","357,973.12","386,714.57",27.82
1992Q1,"102,849.27","335,889.99","360,938.64","389,942.84",16.56
1992Q2,"109,984.09","345,405.37","374,370.30","402,624.09",20.60
1992Q3,"105,678.75","347,901.80","388,348.41","412,983.09",16.26
1992Q4,"131,731.86","380,487.00","426,851.91","458,384.18",14.42
1993Q1,"124,416.92","387,692.13","447,474.99","482,763.34",10.40
1993Q2,"130,905.78","413,595.53","479,620.12","516,770.18",7.06
1993Q3,"131,300.70","428,307.12","499,352.61","535,197.77",11.92
1993Q4,"157,044.10","469,738.09","540,845.06","580,325.78",10.41
1994Q1,"149,959.41","478,788.31","559,354.95","606,109.00",26.28
1994Q2,"145,862.40","483,048.38","562,273.74","607,926.79",16.31
1994Q3,"144,181.09","515,773.92","598,656.98","640,823.09",24.71
1994Q4,"163,827.90","554,929.59","657,102.39","724,203.46",21.18
1995Q1,"128,814.81","571,404.58","667,598.93","732,300.48",25.62
1995Q2,"128,233.76","606,082.98","676,237.42","745,892.15",19.04
1995Q3,"135,264.20","654,371.17","697,536.54","767,647.66",15.42
1995Q4,"171,638.50","754,406.93","784,494.83","869,208.62",33.40
1996Q1,"172,326.45","803,962.13","828,257.65","913,201.74",21.55
1996Q2,"186,764.21","861,049.24","880,104.92","966,058.92",40.90
1996Q3,"197,633.36","917,219.96","935,988.96","1,022,485.95",33.57
1996Q4,"245,260.37","995,165.60","1,025,834.52","1,116,078.76",23.13
1997Q1,"246,606.12","1,049,266.87","1,081,038.43","1,162,450.69",46.82
1997Q2,"264,830.28","1,130,615.30","1,160,250.94","1,241,207.11",43.24
1997Q3,"274,378.17","1,184,894.57","1,219,492.16","1,293,971.49",51.29
1997Q4,"325,760.01","1,290,063.31","1,320,539.87","1,400,371.60",48.38
1998Q1,"312,466.11","1,352,070.12","1,388,469.84","1,469,627.62",20.47
1998Q2,"326,365.53","1,432,270.22","1,465,513.60","1,549,120.55",28.13
1998Q3,"326,752.44","1,511,132.04","1,536,363.79","1,628,792.34",38.81
1998Q4,"388,240.29","1,663,219.77","1,689,754.65","1,775,643.99",33.74
1999Q1,"366,584.45","1,751,273.02","1,773,343.67","1,855,438.33",46.46
1999Q2,"384,307.83","1,819,395.80","1,837,883.58","1,915,453.73",31.56
1999Q3,"399,178.25","1,925,938.33","1,941,789.13","2,013,048.52",26.02
1999Q4,"489,943.40","2,030,684.80","2,047,566.33","2,121,261.05",36.16
2000Q1,"454,976.71","2,106,087.33","2,125,407.90","2,195,231.13",19.39
2000Q2,"486,757.93","2,187,475.10","2,205,992.40","2,274,629.06",33.44
2000Q3,"483,268.29","2,277,789.20","2,295,072.57","2,356,058.85",24.67
2000Q4,"565,014.44","2,331,055.14","2,359,432.80","2,415,814.02",10.31
2001Q1,"509,872.62","2,405,910.31","2,430,393.86","2,500,427.12",11.53
2001Q2,"531,278.59","2,476,284.79","2,501,586.24","2,559,631.80",6.17
2001Q3,"578,985.94","2,605,255.38","2,628,983.98","2,684,321.30",9.54
2001Q4,"680,706.00","2,768,942.90","2,797,357.00","2,846,184.90",4.97
2002Q1,"642,843.10","2,815,355.30","2,842,033.10","2,876,960.20",17.98
2002Q2,"653,872.00","2,858,083.20","2,883,954.60","2,925,912.30",12.60
