Dates,MX_PETRP
1990Q1,89.67
1990Q2,85.80
1990Q3,86.32
1990Q4,89.05
1991Q1,93.14
1991Q2,93.03
1991Q3,94.41
1991Q4,93.96
1992Q1,98.43
1992Q2,90.47
1992Q3,92.62
1992Q4,94.16
1993Q1,98.95
1993Q2,97.74
1993Q3,94.74
1993Q4,94.40
1994Q1,102.64
1994Q2,101.03
1994Q3,101.34
1994Q4,102.01
1995Q1,92.79
1995Q2,94.39
1995Q3,97.31
1995Q4,87.34
1996Q1,100.97
1996Q2,102.19
1996Q3,101.63
1996Q4,102.85
1997Q1,102.95
1997Q2,105.86
1997Q3,110.28
1997Q4,110.56
1998Q1,110.28
1998Q2,110.97
1998Q3,109.68
1998Q4,108.81
1999Q1,108.96
1999Q2,103.91
1999Q3,105.16
1999Q4,102.18
2000Q1,107.13
2000Q2,108.77
2000Q3,110.51
2000Q4,106.29
2001Q1,109.79
2001Q2,108.45
2001Q3,113.35
2001Q4,111.38
2002Q1,110.59
2002Q2,110.94
2002Q3,112.58
2002Q4,112.90
2003Q1,113.34
2003Q2,114.61
2003Q3,118.59
2003Q4,118.69
2004Q1,116.92
2004Q2,118.20
2004Q3,118.24
2004Q4,117.01
2005Q1,113.70
2005Q2,119.12
2005Q3,116.35
2005Q4,117.40
2006Q1,116.06
2006Q2,117.48
2006Q3,116.98
2006Q4,112.77
2007Q1,112.72
2007Q2,114.54
2007Q3,112.26
2007Q4,109.19
2008Q1,107.43
2008Q2,105.05
2008Q3,105.41
2008Q4,105.65
2009Q1,100.94
2009Q2,100.10
2009Q3,100.56
2009Q4,101.03
2010Q1,99.24
2010Q2,99.57
2010Q3,100.95
2010Q4,100.28
2011Q1,98.21
2011Q2,98.58
2011Q3,98.10
2011Q4,98.25
2012Q1,97.15
2012Q2,97.30
2012Q3,98.27
2012Q4,98.59
2013Q1,96.23
2013Q2,95.87
2013Q3,96.86
2013Q4,97.73
2014Q1,95.00
2014Q2,95.32
2014Q3,94.27
2014Q4,93.15
2015Q1,89.45
2015Q2,86.84
2015Q3,89.75
2015Q4,89.95
2016Q1,86.93
2016Q2,84.50
