Dates,PPI
1990Q1,10.99
1990Q2,11.49
1990Q3,12.14
1990Q4,12.90
1991Q1,13.80
1991Q2,14.24
1991Q3,14.67
1991Q4,15.10
1992Q1,15.69
1992Q2,16.12
1992Q3,16.40
1992Q4,16.72
1993Q1,17.08
1993Q2,17.32
1993Q3,17.57
1993Q4,17.77
1994Q1,18.05
1994Q2,18.32
1994Q3,18.65
1994Q4,18.98
1995Q1,21.27
1995Q2,25.26
1995Q3,27.05
1995Q4,29.03
1996Q1,31.75
1996Q2,33.86
1996Q3,35.11
1996Q4,36.65
1997Q1,38.83
1997Q2,39.82
1997Q3,40.76
1997Q4,42.06
1998Q1,44.37
1998Q2,45.54
1998Q3,47.25
1998Q4,50.09
1999Q1,52.37
1999Q2,52.95
1999Q3,53.74
1999Q4,54.86
2000Q1,56.27
2000Q2,57.40
2000Q3,58.03
2000Q4,59.00
2001Q1,60.21
2001Q2,60.48
2001Q3,60.56
2001Q4,61.02
2002Q1,61.40
2002Q2,63.19
2002Q3,64.51
2002Q4,65.54
2003Q1,67.48
2003Q2,67.96
2003Q3,68.37
2003Q4,69.86
2004Q1,71.99
2004Q2,73.91
2004Q3,75.12
2004Q4,76.14
2005Q1,76.95
2005Q2,77.42
2005Q3,78.00
2005Q4,78.80
2006Q1,79.99
2006Q2,81.77
2006Q3,83.19
2006Q4,83.58
2007Q1,84.45
2007Q2,85.31
2007Q3,86.23
2007Q4,87.06
2008Q1,88.86
2008Q2,91.17
2008Q3,92.75
2008Q4,94.66
2009Q1,95.40
2009Q2,95.25
2009Q3,96.01
2009Q4,97.17
2010Q1,98.91
2010Q2,99.56
2010Q3,100.40
2010Q4,101.13
2011Q1,102.98
2011Q2,104.28
2011Q3,105.73
2011Q4,107.90
2012Q1,109.24
2012Q2,109.98
2012Q3,110.39
2012Q4,110.79
2013Q1,111.32
2013Q2,111.46
2013Q3,111.45
2013Q4,112.17
2014Q1,113.77
2014Q2,114.20
2014Q3,114.84
2014Q4,115.52
2015Q1,116.47
2015Q2,117.35
2015Q3,118.68
2015Q4,119.25
2016Q1,121.40
2016Q2,123.12
2016Q3,125.56
