Dates,PPI
1957Q1,16.77
1957Q2,16.82
1957Q3,16.97
1957Q4,16.96
1958Q1,17.10
1958Q2,17.12
1958Q3,17.09
1958Q4,17.09
1959Q1,17.15
1959Q2,17.20
1959Q3,17.14
1959Q4,17.06
1960Q1,17.15
1960Q2,17.18
1960Q3,17.13
1960Q4,17.15
1961Q1,17.21
1961Q2,17.05
1961Q3,17.05
1961Q4,17.07
1962Q1,17.17
1962Q2,17.08
1962Q3,17.16
1962Q4,17.14
1963Q1,17.08
1963Q2,17.05
1963Q3,17.11
1963Q4,17.12
1964Q1,17.15
1964Q2,17.06
1964Q3,17.12
1964Q4,17.17
1965Q1,17.24
1965Q2,17.42
1965Q3,17.55
1965Q4,17.65
1966Q1,17.91
1966Q2,17.99
1966Q3,18.18
1966Q4,18.06
1967Q1,18.06
1967Q2,18.03
1967Q3,18.11
1967Q4,18.14
1968Q1,18.39
1968Q2,18.50
1968Q3,18.58
1968Q4,18.67
1969Q1,18.96
1969Q2,19.20
1969Q3,19.35
1969Q4,19.54
1970Q1,19.82
1970Q2,19.91
1970Q3,20.03
1970Q4,20.06
1971Q1,20.35
1971Q2,20.60
1971Q3,20.76
1971Q4,20.78
1972Q1,21.16
1972Q2,21.37
1972Q3,21.69
1972Q4,21.92
1973Q1,22.98
1973Q2,24.09
1973Q3,25.08
1973Q4,25.30
1974Q1,26.97
1974Q2,27.93
1974Q3,29.91
1974Q4,30.96
1975Q1,30.95
1975Q2,31.28
1975Q3,31.95
1975Q4,32.30
1976Q1,32.46
1976Q2,32.93
1976Q3,33.33
1976Q4,33.63
1977Q1,34.37
1977Q2,35.20
1977Q3,35.24
1977Q4,35.66
1978Q1,36.52
1978Q2,37.62
1978Q3,38.20
1978Q4,39.06
1979Q1,40.48
1979Q2,41.92
1979Q3,43.23
1979Q4,44.75
1980Q1,46.83
1980Q2,47.77
1980Q3,49.35
1980Q4,50.49
1981Q1,52.00
1981Q2,53.18
1981Q3,53.54
1981Q4,53.49
1982Q1,53.94
1982Q2,54.00
1982Q3,54.24
1982Q4,54.30
1983Q1,54.33
1983Q2,54.52
1983Q3,55.04
1983Q4,55.31
1984Q1,55.93
1984Q2,56.30
1984Q3,56.17
1984Q4,56.03
1985Q1,55.90
1985Q2,55.95
1985Q3,55.58
1985Q4,55.92
1986Q1,55.07
1986Q2,54.04
1986Q3,53.79
1986Q4,53.99
1987Q1,54.62
1987Q2,55.49
1987Q3,56.12
1987Q4,56.39
1988Q1,56.71
1988Q2,57.65
1988Q3,58.46
1988Q4,58.73
1989Q1,60.05
1989Q2,61.06
1989Q3,60.84
1989Q4,61.08
1990Q1,61.98
1990Q2,61.85
1990Q3,62.99
1990Q4,64.87
1991Q1,63.57
1991Q2,62.94
1991Q3,62.83
1991Q4,62.92
1992Q1,62.74
1992Q2,63.42
1992Q3,63.80
1992Q4,63.79
1993Q1,64.07
1993Q2,64.69
1993Q3,64.35
1993Q4,64.36
1994Q1,64.62
1994Q2,64.98
1994Q3,65.48
1994Q4,65.73
1995Q1,66.82
1995Q2,67.63
1995Q3,67.77
1995Q4,67.92
1996Q1,68.37
1996Q2,69.20
1996Q3,69.38
1996Q4,69.52
1997Q1,69.56
1997Q2,68.86
1997Q3,68.86
1997Q4,69.02
1998Q1,67.68
1998Q2,67.63
1998Q3,67.29
1998Q4,66.84
1999Q1,66.37
1999Q2,67.39
1999Q3,68.68
1999Q4,69.25
2000Q1,70.17
2000Q2,71.47
2000Q3,72.37
2000Q4,73.37
2001Q1,74.58
2001Q2,73.75
2001Q3,72.19
2001Q4,70.05
2002Q1,69.78
2002Q2,70.82
2002Q3,71.27
2002Q4,72.03
2003Q1,74.72
2003Q2,74.25
2003Q3,74.74
2003Q4,75.37
2004Q1,76.98
2004Q2,79.18
2004Q3,79.95
2004Q4,81.47
2005Q1,82.32
2005Q2,83.65
2005Q3,85.91
2005Q4,88.94
2006Q1,88.11
2006Q2,89.53
2006Q3,90.24
2006Q4,88.85
2007Q1,90.24
2007Q2,93.56
2007Q3,94.01
2007Q4,96.05
2008Q1,99.53
2008Q2,106.10
2008Q3,108.52
2008Q4,96.37
2009Q1,91.77
2009Q2,92.75
2009Q3,94.12
2009Q4,95.76
2010Q1,98.56
2010Q2,99.73
2010Q3,99.95
2010Q4,101.77
2011Q1,106.04
2011Q2,110.27
2011Q3,110.34
2011Q4,108.68
2012Q1,109.44
2012Q2,109.24
2012Q3,109.56
2012Q4,109.49
2013Q1,110.21
2013Q2,110.41
2013Q3,110.52
2013Q4,109.29
2014Q1,111.24
2014Q2,112.70
2014Q3,112.13
2014Q4,108.50
2015Q1,103.68
2015Q2,104.49
2015Q3,103.74
2015Q4,100.45
2016Q1,98.52
2016Q2,100.27
2016Q3,101.14
