DATE,QUSR628BIS
1975-10-01,62.10
1976-01-01,60.30
1976-04-01,59.60
1976-07-01,61.50
1976-10-01,63.20
1977-01-01,64.60
1977-04-01,67.10
1977-07-01,69.10
1977-10-01,71.20
1978-01-01,73.10
1978-04-01,73.20
1978-07-01,74.10
1978-10-01,75.20
1979-01-01,76.50
1979-04-01,77.50
1979-07-01,77.60
1979-10-01,77.90
1980-01-01,76.70
1980-04-01,75.60
1980-07-01,76.50
1980-10-01,76.30
1981-01-01,76.00
1981-04-01,75.30
1981-07-01,73.80
1981-10-01,73.60
1982-01-01,73.40
1982-04-01,72.40
1982-07-01,71.10
1982-10-01,71.20
1983-01-01,71.70
1983-04-01,71.80
1983-07-01,72.00
1983-10-01,72.30
1984-01-01,72.50
1984-04-01,72.70
1984-07-01,72.80
1984-10-01,73.00
1985-01-01,73.50
1985-04-01,73.70
1985-07-01,74.10
1985-10-01,75.10
1986-01-01,76.40
1986-04-01,78.10
1986-07-01,79.30
1986-10-01,80.80
1987-01-01,82.30
1987-04-01,83.50
1987-07-01,84.40
1987-10-01,85.20
1988-01-01,86.00
1988-04-01,87.00
1988-07-01,88.30
1988-10-01,89.50
1989-01-01,90.70
1989-04-01,90.40
1989-07-01,90.50
1989-10-01,90.80
1990-01-01,90.10
1990-04-01,89.20
1990-07-01,87.30
1990-10-01,85.30
1991-01-01,84.10
1991-04-01,83.90
1991-07-01,83.30
1991-10-01,82.40
1992-01-01,82.00
1992-04-01,81.30
1992-07-01,80.60
1992-10-01,80.30
1993-01-01,79.90
1993-04-01,79.80
1993-07-01,80.20
1993-10-01,80.40
1994-01-01,80.10
1994-04-01,79.80
1994-07-01,79.50
1994-10-01,79.30
1995-01-01,79.00
1995-04-01,78.90
1995-07-01,79.20
1995-10-01,79.30
1996-01-01,79.30
1996-04-01,79.10
1996-07-01,79.00
1996-10-01,78.90
1997-01-01,78.90
1997-04-01,79.40
1997-07-01,80.20
1997-10-01,81.30
1998-01-01,82.80
1998-04-01,83.60
1998-07-01,84.80
1998-10-01,86.20
1999-01-01,87.10
1999-04-01,87.90
1999-07-01,89.20
1999-10-01,90.50
2000-01-01,92.10
2000-04-01,93.60
2000-07-01,95.00
2000-10-01,96.80
2001-01-01,98.30
2001-04-01,99.00
2001-07-01,100.90
2001-10-01,103.10
2002-01-01,104.70
2002-04-01,106.40
2002-07-01,108.70
2002-10-01,110.60
2003-01-01,111.80
2003-04-01,113.80
2003-07-01,116.60
2003-10-01,120.60
2004-01-01,124.20
2004-04-01,127.40
2004-07-01,131.30
2004-10-01,135.30
2005-01-01,140.70
2005-04-01,144.60
2005-07-01,147.30
2005-10-01,150.10
2006-01-01,151.80
2006-04-01,148.60
2006-07-01,146.80
2006-10-01,148.00
2007-01-01,144.70
2007-04-01,138.50
2007-07-01,134.20
2007-10-01,129.30
2008-01-01,123.00
2008-04-01,115.30
2008-07-01,109.50
2008-10-01,107.00
2009-01-01,103.30
2009-04-01,102.00
2009-07-01,102.00
2009-10-01,102.50
2010-01-01,102.30
2010-04-01,101.10
2010-07-01,98.90
2010-10-01,97.80
2011-01-01,95.40
2011-04-01,93.10
2011-07-01,92.70
2011-10-01,92.80
2012-01-01,93.50
2012-04-01,94.80
2012-07-01,96.50
2012-10-01,98.90
2013-01-01,101.20
2013-04-01,103.90
2013-07-01,106.20
2013-10-01,108.80
2014-01-01,109.90
2014-04-01,109.30
2014-07-01,110.50
2014-10-01,113.00
2015-01-01,115.20
2015-04-01,115.10
2015-07-01,116.00
2015-10-01,118.50
2016-01-01,120.70
