DATE,INTGSTUSM193N
1950-01-01,1.09
1950-02-01,1.13
1950-03-01,1.14
1950-04-01,1.16
1950-05-01,1.17
1950-06-01,1.17
1950-07-01,1.17
1950-08-01,1.21
1950-09-01,1.32
1950-10-01,1.33
1950-11-01,1.36
1950-12-01,1.37
1951-01-01,1.39
1951-02-01,1.39
1951-03-01,1.42
1951-04-01,1.52
1951-05-01,1.58
1951-06-01,1.5
1951-07-01,1.59
1951-08-01,1.64
1951-09-01,1.65
1951-10-01,1.61
1951-11-01,1.61
1951-12-01,1.73
1952-01-01,1.69
1952-02-01,1.57
1952-03-01,1.66
1952-04-01,1.62
1952-05-01,1.71
1952-06-01,1.7
1952-07-01,1.82
1952-08-01,1.88
1952-09-01,1.79
1952-10-01,1.78
1952-11-01,1.86
1952-12-01,2.13
1953-01-01,2.04
1953-02-01,2.02
1953-03-01,2.08
1953-04-01,2.18
1953-05-01,2.2
1953-06-01,2.23
1953-07-01,2.1
1953-08-01,2.09
1953-09-01,1.88
1953-10-01,1.4
1953-11-01,1.43
1953-12-01,1.63
1954-01-01,1.21
1954-02-01,0.98
1954-03-01,1.05
1954-04-01,1.01
1954-05-01,0.78
1954-06-01,0.65
1954-07-01,0.71
1954-08-01,0.89
1954-09-01,1.01
1954-10-01,0.99
1954-11-01,0.95
1954-12-01,1.17
1955-01-01,1.26
1955-02-01,1.18
1955-03-01,1.34
1955-04-01,1.62
1955-05-01,1.49
1955-06-01,1.43
1955-07-01,1.62
1955-08-01,1.88
1955-09-01,2.09
1955-10-01,2.26
1955-11-01,2.23
1955-12-01,2.56
1956-01-01,2.46
1956-02-01,2.37
1956-03-01,2.31
1956-04-01,2.61
1956-05-01,2.65
1956-06-01,2.53
1956-07-01,2.33
1956-08-01,2.61
1956-09-01,2.85
1956-10-01,2.96
1956-11-01,3
1956-12-01,3.23
1957-01-01,3.21
1957-02-01,3.17
1957-03-01,3.14
1957-04-01,3.11
1957-05-01,3.04
1957-06-01,3.32
1957-07-01,3.17
1957-08-01,3.4
1957-09-01,3.58
1957-10-01,3.59
1957-11-01,3.34
1957-12-01,3.1
1958-01-01,2.6
1958-02-01,1.56
1958-03-01,1.35
1958-04-01,1.13
1958-05-01,1.05
1958-06-01,0.88
1958-07-01,0.96
1958-08-01,1.69
1958-09-01,2.48
1958-10-01,2.79
1958-11-01,2.76
1958-12-01,2.81
1959-01-01,2.84
1959-02-01,2.71
1959-03-01,2.85
1959-04-01,2.96
1959-05-01,2.85
1959-06-01,3.25
1959-07-01,3.24
1959-08-01,3.36
1959-09-01,4
1959-10-01,4.12
