Dates,WAGES
1990Q1,41.29
1990Q2,44.93
1990Q3,47.11
1990Q4,56.03
1991Q1,53.73
1991Q2,58.07
1991Q3,60.87
1991Q4,71.80
1992Q1,66.57
1992Q2,71.88
1992Q3,73.57
1992Q4,75.17
1993Q1,72.73
1993Q2,75.18
1993Q3,76.56
1993Q4,87.45
1994Q1,77.26
1994Q2,78.48
1994Q3,78.77
1994Q4,90.38
1995Q1,75.23
1995Q2,69.33
1995Q3,67.22
1995Q4,72.24
1996Q1,63.06
1996Q2,62.52
1996Q3,61.79
1996Q4,68.55
1997Q1,60.67
1997Q2,62.70
1997Q3,61.58
1997Q4,69.48
1998Q1,62.80
1998Q2,64.16
1998Q3,64.05
1998Q4,70.63
1999Q1,63.14
1999Q2,64.91
1999Q3,64.57
1999Q4,72.99
2000Q1,66.00
2000Q2,69.15
2000Q3,68.89
2000Q4,77.44
2001Q1,70.00
2001Q2,72.79
2001Q3,73.23
2001Q4,84.38
2002Q1,72.68
2002Q2,75.00
2002Q3,73.96
2002Q4,84.35
2003Q1,77.16
2003Q2,73.84
2003Q3,80.76
2003Q4,77.89
2004Q1,82.32
2004Q2,80.37
2004Q3,84.47
2004Q4,84.17
2005Q1,83.71
2005Q2,83.25
2005Q3,86.69
2005Q4,89.57
2006Q1,88.64
2006Q2,89.60
2006Q3,96.81
2006Q4,98.01
2007Q1,96.71
2007Q2,100.25
2007Q3,98.40
2007Q4,107.05
2008Q1,97.82
2008Q2,101.06
2008Q3,99.21
2008Q4,107.79
2009Q1,97.28
2009Q2,99.51
2009Q3,98.97
2009Q4,107.05
2010Q1,97.24
2010Q2,98.97
2010Q3,98.60
2010Q4,105.19
2011Q1,96.74
2011Q2,98.66
2011Q3,99.11
2011Q4,106.41
2012Q1,97.99
2012Q2,99.78
2012Q3,98.46
2012Q4,105.09
2013Q1,97.24
2013Q2,99.37
2013Q3,100.25
2013Q4,106.37
2014Q1,97.34
2014Q2,100.56
2014Q3,99.37
2014Q4,106.44
2015Q1,97.95
2015Q2,100.86
2015Q3,100.02
2015Q4,107.93
2016Q1,99.51
2016Q2,103.57
2016Q3,109.95
