DATE,EXPGS
1947-01-01,18.4
1947-04-01,19.5
1947-07-01,19.4
1947-10-01,17.6
1948-01-01,16.9
1948-04-01,15.2
1948-07-01,15.4
1948-10-01,14.6
1949-01-01,16.1
1949-04-01,15.6
1949-07-01,14.1
1949-10-01,12.1
1950-01-01,11.7
1950-04-01,11.9
1950-07-01,12.3
1950-10-01,13.5
1951-01-01,15.0
1951-04-01,17.1
1951-07-01,18.1
1951-10-01,18.2
1952-01-01,18.7
1952-04-01,16.6
1952-07-01,15.2
1952-10-01,15.3
1953-01-01,15.1
1953-04-01,15.2
1953-07-01,15.8
1953-10-01,15.2
1954-01-01,14.4
1954-04-01,16.4
1954-07-01,15.9
1954-10-01,16.6
1955-01-01,17.3
1955-04-01,16.9
1955-07-01,18.1
1955-10-01,18.3
1956-01-01,19.4
1956-04-01,20.9
1956-07-01,21.8
1956-10-01,23.1
1957-01-01,24.9
1957-04-01,24.4
1957-07-01,23.8
1957-10-01,23
1958-01-01,20.5
1958-04-01,20.5
1958-07-01,20.6
1958-10-01,20.6
1959-01-01,21.8
1959-04-01,22.6
1959-07-01,23.5
1959-10-01,23.1
1960-01-01,26
1960-04-01,27.6
1960-07-01,27
1960-10-01,27.5
1961-01-01,27.5
1961-04-01,27.4
1961-07-01,27.2
1961-10-01,28.3
1962-01-01,28.3
1962-04-01,30.7
1962-07-01,29
1962-10-01,28.4
1963-01-01,29.1
1963-04-01,32.4
1963-07-01,30.6
1963-10-01,32.2
1964-01-01,34.2
1964-04-01,34.8
1964-07-01,34.8
1964-10-01,36.2
1965-01-01,33.1
1965-04-01,39.1
1965-07-01,36.9
1965-10-01,39.5
1966-01-01,39.4
1966-04-01,41.5
1966-07-01,40.4
1966-10-01,42.4
1967-01-01,44
1967-04-01,43.5
1967-07-01,42.4
1967-10-01,43.9
1968-01-01,45.5
1968-04-01,47.4
1968-07-01,49.5
1968-10-01,49.2
1969-01-01,44
1969-04-01,53.9
1969-07-01,53.3
1969-10-01,56.5
1970-01-01,56.9
1970-04-01,60.6
1970-07-01,60.3
1970-10-01,61.1
1971-01-01,63.1
1971-04-01,63.1
1971-07-01,65.4
1971-10-01,60.3
1972-01-01,68.6
1972-04-01,67.2
1972-07-01,71.5
1972-10-01,76.1
1973-01-01,84
1973-04-01,91.9
1973-07-01,97.6
1973-10-01,107.6
1974-01-01,116.7
1974-04-01,126.7
1974-07-01,126.6
1974-10-01,136.6
1975-01-01,141.4
1975-04-01,136.8
1975-07-01,134.1
1975-10-01,142.5
1976-01-01,143.6
1976-04-01,146.6
1976-07-01,151.8
1976-10-01,156.1
1977-01-01,155.4
1977-04-01,161.9
1977-07-01,162.3
1977-10-01,157.8
1978-01-01,164.6
1978-04-01,186.2
1978-07-01,191.3
1978-10-01,205.4
1979-01-01,211.7
1979-04-01,220.9
1979-07-01,234.3
1979-10-01,253.7
1980-01-01,268.5
1980-04-01,277.4
1980-07-01,284.7
1980-10-01,292.5
1981-01-01,305.5
1981-04-01,308.5
1981-07-01,302.3
1981-10-01,304.7
1982-01-01,293.2
1982-04-01,294.7
1982-07-01,279.6
1982-10-01,265.3
1983-01-01,270.7
1983-04-01,272.5
1983-07-01,278.2
1983-10-01,286.6
1984-01-01,293
1984-04-01,302.2
1984-07-01,305.7
1984-10-01,308.6
1985-01-01,306.0
1985-04-01,304.1
1985-07-01,297.3
1985-10-01,305.4
1986-01-01,313.4
1986-04-01,315.1
1986-07-01,320.5
1986-10-01,335.0
1987-01-01,336.5
1987-04-01,355.4
1987-07-01,371.9
1987-10-01,392.1
1988-01-01,418.7
1988-04-01,439.5
1988-07-01,453.6
1988-10-01,466.6
1989-01-01,485.2
1989-04-01,507.2
1989-07-01,509.4
1989-10-01,515.4
1990-01-01,538.2
1990-04-01,545.9
1990-07-01,555.1
1990-10-01,568.2
1991-01-01,573.2
1991-04-01,590.7
1991-07-01,600.6
1991-10-01,615.2
1992-01-01,625.3
1992-04-01,626.2
1992-07-01,639.4
1992-10-01,641.4
1993-01-01,643.6
1993-04-01,653.1
1993-07-01,650.9
1993-10-01,671.6
1994-01-01,681.2
1994-04-01,707.0
1994-07-01,736.9
1994-10-01,758.6
1995-01-01,781.6
1995-04-01,798.9
1995-07-01,831.4
