Date,US_EXP
1950Q1,11.70
1950Q2,11.90
1950Q3,12.30
1950Q4,13.50
1951Q1,15.00
1951Q2,17.10
1951Q3,18.10
1951Q4,18.20
1952Q1,18.70
1952Q2,16.60
1952Q3,15.20
1952Q4,15.30
1953Q1,15.10
1953Q2,15.20
1953Q3,15.80
1953Q4,15.20
1954Q1,14.40
1954Q2,16.40
1954Q3,15.90
1954Q4,16.60
1955Q1,17.30
1955Q2,16.90
1955Q3,18.10
1955Q4,18.30
1956Q1,19.40
1956Q2,20.90
1956Q3,21.80
1956Q4,23.10
1957Q1,24.90
1957Q2,24.40
1957Q3,23.80
1957Q4,23.00
1958Q1,20.50
1958Q2,20.50
1958Q3,20.60
1958Q4,20.60
1959Q1,21.80
1959Q2,22.60
1959Q3,23.50
1959Q4,23.10
1960Q1,26.00
1960Q2,27.60
1960Q3,27.00
1960Q4,27.50
1961Q1,27.50
1961Q2,27.40
1961Q3,27.20
1961Q4,28.30
1962Q1,28.30
1962Q2,30.70
1962Q3,29.00
1962Q4,28.40
1963Q1,29.10
1963Q2,32.40
1963Q3,30.60
1963Q4,32.20
1964Q1,34.20
1964Q2,34.80
1964Q3,34.80
1964Q4,36.20
1965Q1,33.10
1965Q2,39.10
1965Q3,36.90
1965Q4,39.50
1966Q1,39.40
1966Q2,41.50
1966Q3,40.40
1966Q4,42.40
1967Q1,44.00
1967Q2,43.50
1967Q3,42.40
1967Q4,43.90
1968Q1,45.50
1968Q2,47.40
1968Q3,49.50
1968Q4,49.20
1969Q1,44.00
1969Q2,53.90
1969Q3,53.30
1969Q4,56.50
1970Q1,56.90
1970Q2,60.60
1970Q3,60.30
1970Q4,61.10
1971Q1,63.10
1971Q2,63.10
1971Q3,65.40
1971Q4,60.30
1972Q1,68.60
1972Q2,67.20
1972Q3,71.50
1972Q4,76.10
1973Q1,84.00
1973Q2,91.90
1973Q3,97.60
1973Q4,107.60
1974Q1,116.70
1974Q2,126.70
1974Q3,126.60
1974Q4,136.60
1975Q1,141.40
1975Q2,136.80
1975Q3,134.10
1975Q4,142.50
1976Q1,143.60
1976Q2,146.60
1976Q3,151.80
1976Q4,156.10
1977Q1,155.40
1977Q2,161.90
1977Q3,162.30
1977Q4,157.80
1978Q1,164.60
1978Q2,186.20
1978Q3,191.30
1978Q4,205.40
1979Q1,211.70
1979Q2,220.90
1979Q3,234.30
1979Q4,253.70
1980Q1,268.50
1980Q2,277.40
1980Q3,284.70
1980Q4,292.50
1981Q1,305.50
1981Q2,308.40
1981Q3,302.30
1981Q4,304.70
1982Q1,293.20
1982Q2,294.70
1982Q3,279.60
1982Q4,265.30
1983Q1,270.70
1983Q2,272.50
1983Q3,278.20
1983Q4,286.60
1984Q1,293.00
1984Q2,302.20
1984Q3,305.70
1984Q4,308.60
1985Q1,305.40
1985Q2,303.10
1985Q3,295.60
1985Q4,304.00
1986Q1,312.00
1986Q2,314.20
1986Q3,320.20
1986Q4,335.00
1987Q1,336.70
1987Q2,355.00
1987Q3,371.60
1987Q4,391.80
1988Q1,418.40
1988Q2,438.90
1988Q3,452.70
1988Q4,465.60
1989Q1,484.00
1989Q2,505.80
1989Q3,508.20
1989Q4,514.50
1990Q1,537.60
1990Q2,546.40
1990Q3,555.70
1990Q4,568.80
1991Q1,574.70
1991Q2,590.70
1991Q3,600.60
1991Q4,615.20
1992Q1,625.30
1992Q2,626.20
1992Q3,639.40
1992Q4,641.40
1993Q1,643.60
1993Q2,653.10
1993Q3,650.90
1993Q4,671.60
1994Q1,681.20
1994Q2,707.00
1994Q3,736.90
1994Q4,758.60
1995Q1,781.60
1995Q2,798.90
1995Q3,831.40
1995Q4,839.40
1996Q1,847.90
1996Q2,859.00
1996Q3,859.60
1996Q4,903.80
1997Q1,918.40
1997Q2,954.50
1997Q3,974.10
1997Q4,968.30
1998Q1,963.00
1998Q2,947.30
1998Q3,935.30
1998Q4,966.30
1999Q1,961.60
1999Q2,972.80
1999Q3,"1,002.40"
1999Q4,"1,031.20"
2000Q1,"1,054.00"
2000Q2,"1,092.70"
2000Q3,"1,125.20"
2000Q4,"1,115.40"
2001Q1,"1,096.70"
2001Q2,"1,054.60"
2001Q3,998.50
2001Q4,957.10
2002Q1,973.30
2002Q2,"1,007.50"
2002Q3,"1,021.60"
2002Q4,"1,007.60"
2003Q1,"1,011.50"
2003Q2,"1,012.30"
2003Q3,"1,042.50"
2003Q4,"1,094.80"
2004Q1,"1,141.30"
2004Q2,"1,172.30"
2004Q3,"1,186.00"
2004Q4,"1,226.40"
2005Q1,"1,268.20"
2005Q2,"1,300.10"
2005Q3,"1,310.90"
2005Q4,"1,356.40"
2006Q1,"1,417.20"
2006Q2,"1,463.40"
2006Q3,"1,480.10"
2006Q4,"1,544.50"
2007Q1,"1,580.50"
2007Q2,"1,625.10"
2007Q3,"1,687.50"
2007Q4,"1,765.40"
2008Q1,"1,814.60"
2008Q2,"1,920.50"
2008Q3,"1,923.60"
2008Q4,"1,709.10"
2009Q1,"1,519.50"
2009Q2,"1,522.70"
2009Q3,"1,596.40"
2009Q4,"1,712.30"
2010Q1,"1,753.20"
2010Q2,"1,814.00"
2010Q3,"1,869.80"
2010Q4,"1,972.20"
2011Q1,"2,033.30"
2011Q2,"2,108.30"
2011Q3,"2,142.90"
2011Q4,"2,141.00"
2012Q1,"2,169.60"
2012Q2,"2,199.80"
2012Q3,"2,209.40"
2012Q4,"2,214.00"
2013Q1,"2,242.20"
2013Q2,"2,253.10"
2013Q3,"2,274.10"
2013Q4,"2,337.10"
2014Q1,"2,339.10"
2014Q2,"2,388.40"
2014Q3,"2,394.70"
2014Q4,"2,379.00"
2015Q1,"2,287.80"
2015Q2,"2,298.60"
2015Q3,"2,259.10"
2015Q4,"2,211.70"
2016Q1,"2,179.00"
2016Q2,"2,209.70"
