DATE,GCEC96
1947-01-01,478.658
1947-04-01,482.814
1947-07-01,485.923
1947-10-01,482.454
1948-01-01,488.594
1948-04-01,504.966
1948-07-01,515.048
1948-10-01,533.794
1949-01-01,548.580
1949-04-01,572.489
1949-07-01,577.631
1949-10-01,565.759
1950-01-01,557.123
1950-04-01,566.567
1950-07-01,557.315
1950-10-01,597.213
1951-01-01,660.893
1951-04-01,748.837
1951-07-01,830.933
1951-10-01,874.767
1952-01-01,900.516
1952-04-01,930.716
1952-07-01,940.030
1952-10-01,955.574
1953-01-01,985.513
1953-04-01,1005.930
1953-07-01,995.234
1953-10-01,992.371
1954-01-01,967.271
1954-04-01,934.283
1954-07-01,914.284
1954-10-01,908.555
1955-01-01,909.151
1955-04-01,900.531
1955-07-01,906.105
1955-10-01,888.260
1956-01-01,888.062
1956-04-01,905.880
1956-07-01,898.256
1956-10-01,920.738
1957-01-01,940.730
1957-04-01,935.743
1957-07-01,943.498
1957-10-01,959.272
1958-01-01,950.847
1958-04-01,974.705
1958-07-01,980.561
1958-10-01,1000.673
1959-01-01,989.449
1959-04-01,1001.749
1959-07-01,1010.329
1959-10-01,1002.144
1960-01-01,985.207
1960-04-01,995.833
1960-07-01,1020.016
1960-10-01,1026.824
1961-01-01,1041.989
1961-04-01,1044.388
1961-07-01,1066.389
1961-10-01,1089.696
1962-01-01,1110.693
1962-04-01,1116.000
1962-07-01,1141.704
1962-10-01,1149.646
1963-01-01,1134.115
1963-04-01,1135.077
1963-07-01,1185.424
1963-10-01,1173.662
1964-01-01,1177.319
1964-04-01,1187.944
1964-07-01,1189.381
1964-10-01,1188.954
1965-01-01,1187.655
1965-04-01,1202.022
1965-07-01,1241.732
1965-10-01,1265.368
1966-01-01,1289.017
1966-04-01,1313.365
1966-07-01,1349.101
1966-10-01,1372.382
1967-01-01,1429.849
1967-04-01,1424.221
1967-07-01,1440.159
1967-10-01,1451.435
1968-01-01,1477.236
1968-04-01,1485.012
1968-07-01,1489.654
1968-10-01,1490.990
1969-01-01,1494.713
1969-04-01,1490.022
1969-07-01,1493.466
1969-10-01,1473.931
1970-01-01,1466.946
1970-04-01,1450.151
1970-07-01,1456.479
1970-10-01,1457.243
1971-01-01,1436.079
1971-04-01,1432.809
1971-07-01,1432.388
1971-10-01,1422.625
1972-01-01,1429.346
1972-04-01,1437.955
1972-07-01,1409.295
1972-10-01,1420.091
1973-01-01,1431.595
1973-04-01,1424.526
1973-07-01,1406.406
1973-10-01,1415.766
1974-01-01,1442.350
1974-04-01,1451.635
1974-07-01,1453.496
1974-10-01,1459.885
1975-01-01,1476.106
1975-04-01,1466.234
1975-07-01,1489.536
1975-10-01,1503.365
1976-01-01,1506.522
1976-04-01,1491.358
1976-07-01,1483.926
1976-10-01,1484.438
1977-01-01,1497.302
1977-04-01,1512.023
1977-07-01,1515.394
1977-10-01,1512.118
1978-01-01,1513.863
1978-04-01,1554.053
1978-07-01,1566.415
1978-10-01,1580.582
1979-01-01,1566.901
1979-04-01,1582.978
1979-07-01,1585.117
1979-10-01,1595.440
1980-01-01,1620.201
1980-04-01,1625.907
1980-07-01,1601.896
1980-10-01,1601.844
1981-01-01,1622.767
1981-04-01,1627.876
1981-07-01,1621.636
1981-10-01,1639.902
1982-01-01,1638.197
1982-04-01,1648.894
1982-07-01,1659.271
1982-10-01,1685.777
1983-01-01,1701.920
1983-04-01,1719.089
1983-07-01,1747.296
1983-10-01,1718.037
1984-01-01,1738.143
1984-04-01,1777.082
1984-07-01,1791.778
1984-10-01,1825.993
1985-01-01,1847.950
1985-04-01,1890.960
1985-07-01,1935.410
1985-10-01,1941.759
1986-01-01,1957.959
1986-04-01,1997.828
1986-07-01,2043.397
1986-10-01,2031.483
1987-01-01,2044.332
1987-04-01,2062.908
1987-07-01,2067.686
1987-10-01,2092.786
1988-01-01,2078.645
1988-04-01,2086.071
1988-07-01,2087.549
1988-10-01,2126.786
1989-01-01,2117.151
1989-04-01,2151.790
1989-07-01,2169.815
1989-10-01,2181.495
1990-01-01,2215.792
1990-04-01,2221.168
1990-07-01,2219.874
1990-10-01,2240.249
1991-01-01,2251.208
1991-04-01,2259.165
1991-07-01,2250.847
1991-10-01,2242.287
1992-01-01,2259.676
1992-04-01,2256.764
1992-07-01,2268.397
1992-10-01,2263.510
1993-01-01,2237.845
1993-04-01,2240.344
1993-07-01,2245.097
1993-10-01,2249.950
1994-01-01,2222.134
1994-04-01,2235.145
1994-07-01,2272.694
1994-10-01,2252.199
1995-01-01,2256.815
1995-04-01,2268.644
1995-07-01,2262.435
1995-10-01,2242.097
1996-01-01,2246.776
1996-04-01,2282.770
1996-07-01,2285.177
1996-10-01,2301.908
1997-01-01,2301.335
1997-04-01,2325.254
1997-07-01,2329.034
1997-10-01,2332.473
1998-01-01,2318.955
1998-04-01,2366.049
1998-07-01,2387.567
1998-10-01,2409.405
1999-01-01,2418.145
1999-04-01,2431.652
1999-07-01,2460.252
1999-10-01,2496.734
2000-01-01,2476.222
2000-04-01,2506.392
2000-07-01,2501.218
2000-10-01,2508.965
2001-01-01,2546.270
2001-04-01,2596.404
2001-07-01,2594.584
2001-10-01,2632.367
2002-01-01,2671.272
2002-04-01,2696.875
2002-07-01,2717.759
2002-10-01,2737.143
2003-01-01,2728.291
2003-04-01,2771.221
2003-07-01,2771.238
2003-10-01,2786.323
2004-01-01,2793.935
2004-04-01,2809.923
2004-07-01,2820.664
2004-10-01,2808.229
2005-01-01,2814.091
2005-04-01,2818.942
2005-07-01,2840.970
2005-10-01,2830.703
2006-01-01,2853.496
2006-04-01,2864.122
2006-07-01,2870.426
2006-10-01,2889.085
2007-01-01,2882.744
2007-04-01,2907.034
2007-07-01,2928.048
2007-10-01,2939.810
2008-01-01,2951.988
2008-04-01,2974.981
2008-07-01,3016.161
2008-10-01,3035.882
2009-01-01,3040.542
2009-04-01,3096.001
2009-07-01,3112.999
2009-10-01,3106.822
2010-01-01,3084.280
2010-04-01,3106.209
2010-07-01,3103.533
2010-10-01,3071.524
2011-01-01,3012.216
2011-04-01,3008.995
2011-07-01,2990.006
2011-10-01,2978.279
2012-01-01,2963.714
2012-04-01,2949.378
2012-07-01,2940.856
2012-10-01,2912.269
2013-01-01,2880.574
2013-04-01,2866.231
2013-07-01,2851.955
2013-10-01,2831.451
2014-01-01,2824.294
2014-04-01,2825.081
2014-07-01,2842.620
2014-10-01,2839.994
2015-01-01,2857.984
2015-04-01,2880.685
2015-07-01,2894.360
2015-10-01,2901.668
2016-01-01,2913.151
2016-04-01,2900.861
2016-07-01,2904.452
