Date,MX_GCE
1990Q1,44.87
1990Q2,52.23
1990Q3,55.27
1990Q4,78.83
1991Q1,64.23
1991Q2,62.75
1991Q3,76.81
1991Q4,108.10
1992Q1,81.26
1992Q2,87.89
1992Q3,102.78
1992Q4,139.07
1993Q1,197.76
1993Q2,200.35
1993Q3,202.10
1993Q4,214.86
1994Q1,215.99
1994Q2,219.38
1994Q3,220.89
1994Q4,235.15
1995Q1,250.93
1995Q2,281.57
1995Q3,300.83
1995Q4,329.34
1996Q1,348.80
1996Q2,363.91
1996Q3,379.73
1996Q4,412.11
1997Q1,438.59
1997Q2,451.28
1997Q3,460.57
1997Q4,491.82
1998Q1,504.50
1998Q2,516.55
1998Q3,531.65
1998Q4,574.19
1999Q1,606.41
1999Q2,619.55
1999Q3,629.74
1999Q4,671.64
2000Q1,707.96
2000Q2,713.05
2000Q3,723.08
2000Q4,764.82
2001Q1,742.69
2001Q2,762.02
2001Q3,766.56
2001Q4,811.72
2002Q1,802.57
2002Q2,811.60
2002Q3,814.90
2002Q4,856.80
2003Q1,856.46
2003Q2,873.34
2003Q3,851.19
2003Q4,901.16
2004Q1,910.77
2004Q2,925.62
2004Q3,906.02
2004Q4,970.66
2005Q1,969.53
2005Q2,996.90
2005Q3,"1,000.02"
2005Q4,"1,072.15"
2006Q1,"1,092.10"
2006Q2,"1,106.86"
2006Q3,"1,080.57"
2006Q4,"1,146.07"
2007Q1,"1,153.89"
2007Q2,"1,190.06"
2007Q3,"1,191.67"
2007Q4,"1,283.24"
2008Q1,"1,263.12"
2008Q2,"1,326.05"
2008Q3,"1,320.66"
2008Q4,"1,425.39"
2009Q1,"1,419.85"
2009Q2,"1,436.06"
2009Q3,"1,430.63"
2009Q4,"1,511.82"
2010Q1,"1,504.01"
2010Q2,"1,536.27"
2010Q3,"1,528.11"
2010Q4,"1,625.40"
2011Q1,"1,625.49"
2011Q2,"1,642.33"
2011Q3,"1,668.38"
2011Q4,"1,799.11"
2012Q1,"1,805.30"
2012Q2,"1,821.38"
2012Q3,"1,821.24"
2012Q4,"1,948.34"
2013Q1,"1,906.03"
2013Q2,"1,921.63"
2013Q3,"1,948.18"
2013Q4,"2,077.64"
2014Q1,"2,057.09"
2014Q2,"2,051.02"
2014Q3,"2,107.29"
2014Q4,"2,218.71"
2015Q1,"2,204.45"
2015Q2,"2,178.14"
2015Q3,"2,211.02"
2015Q4,"2,329.10"
2016Q1,"2,277.32"
2016Q2,"2,291.62"
