Date,US_GDP
1950Q1,"2,082.50"
1950Q2,"2,145.50"
1950Q3,"2,228.20"
1950Q4,"2,271.20"
1951Q1,"2,302.30"
1951Q2,"2,342.30"
1951Q3,"2,390.50"
1951Q4,"2,395.80"
1952Q1,"2,421.10"
1952Q2,"2,426.20"
1952Q3,"2,443.70"
1952Q4,"2,523.90"
1953Q1,"2,570.90"
1953Q2,"2,591.00"
1953Q3,"2,576.40"
1953Q4,"2,537.30"
1954Q1,"2,525.60"
1954Q2,"2,528.30"
1954Q3,"2,556.90"
1954Q4,"2,606.80"
1955Q1,"2,681.20"
1955Q2,"2,724.80"
1955Q3,"2,761.50"
1955Q4,"2,778.10"
1956Q1,"2,767.40"
1956Q2,"2,790.20"
1956Q3,"2,787.90"
1956Q4,"2,833.50"
1957Q1,"2,851.80"
1957Q2,"2,845.50"
1957Q3,"2,873.20"
1957Q4,"2,843.70"
1958Q1,"2,770.00"
1958Q2,"2,788.30"
1958Q3,"2,852.70"
1958Q4,"2,919.50"
1959Q1,"2,973.80"
1959Q2,"3,046.10"
1959Q3,"3,040.20"
1959Q4,"3,052.20"
1960Q1,"3,120.20"
1960Q2,"3,108.40"
1960Q3,"3,116.10"
1960Q4,"3,078.40"
1961Q1,"3,099.30"
1961Q2,"3,156.90"
1961Q3,"3,209.60"
1961Q4,"3,274.60"
1962Q1,"3,333.60"
1962Q2,"3,369.50"
1962Q3,"3,401.60"
1962Q4,"3,414.80"
1963Q1,"3,452.80"
1963Q2,"3,497.80"
1963Q3,"3,566.10"
1963Q4,"3,591.50"
1964Q1,"3,669.20"
1964Q2,"3,712.90"
1964Q3,"3,763.30"
1964Q4,"3,776.60"
1965Q1,"3,869.80"
1965Q2,"3,922.70"
1965Q3,"4,002.40"
1965Q4,"4,096.70"
1966Q1,"4,197.90"
1966Q2,"4,215.10"
1966Q3,"4,245.20"
1966Q4,"4,281.60"
1967Q1,"4,320.90"
1967Q2,"4,324.70"
1967Q3,"4,362.00"
1967Q4,"4,397.10"
1968Q1,"4,486.40"
1968Q2,"4,562.20"
1968Q3,"4,595.00"
1968Q4,"4,615.40"
1969Q1,"4,687.10"
1969Q2,"4,702.10"
1969Q3,"4,731.50"
1969Q4,"4,711.00"
1970Q1,"4,702.80"
1970Q2,"4,711.10"
1970Q3,"4,752.80"
1970Q4,"4,703.90"
1971Q1,"4,829.90"
1971Q2,"4,857.40"
1971Q3,"4,895.30"
1971Q4,"4,909.50"
1972Q1,"4,997.00"
1972Q2,"5,112.70"
1972Q3,"5,159.80"
1972Q4,"5,245.50"
1973Q1,"5,374.70"
