Date ,Percent
1990Q1,3.52
1990Q2,3.75
1990Q3,3.95
1990Q4,4.06
1991Q1,3.96
1991Q2,6.42
1991Q3,6.25
1991Q4,6.00
1992Q1,5.34
1992Q2,2.36
1992Q3,2.10
1992Q4,2.24
1993Q1,2.38
1993Q2,2.35
1993Q3,2.48
1993Q4,2.32
1994Q1,2.24
1994Q2,2.12
1994Q3,2.06
1994Q4,2.09
1995Q1,2.18
1995Q2,2.12
1995Q3,2.05
1995Q4,2.00
1996Q1,1.96
1996Q2,1.90
1996Q3,1.71
1996Q4,1.72
1997Q1,1.80
1997Q2,1.69
1997Q3,1.77
1997Q4,1.59
1998Q1,1.13
1998Q2,1.07
1998Q3,1.08
1998Q4,1.06
1999Q1,1.40
1999Q2,1.53
1999Q3,1.52
1999Q4,1.67
2000Q1,1.93
2000Q2,2.17
2000Q3,2.46
2000Q4,2.54
2001Q1,2.40
2001Q2,2.54
2001Q3,2.22
2001Q4,1.98
2002Q1,1.67
2002Q2,1.33
2002Q3,1.45
2002Q4,1.69
2003Q1,1.99
2003Q2,1.94
2003Q3,2.05
2003Q4,1.98
2004Q1,2.24
2004Q2,2.80
2004Q3,2.86
2004Q4,3.09
2005Q1,3.15
2005Q2,3.00
2005Q3,3.33
2005Q4,3.39
2006Q1,3.24
2006Q2,3.32
2006Q3,3.08
2006Q4,2.66
2007Q1,3.01
2007Q2,2.76
2007Q3,2.40
2007Q4,2.49
2008Q1,1.93
2008Q2,1.85
2008Q3,2.20
2008Q4,1.90
2009Q1,1.57
2009Q2,0.91
2009Q3,0.20
2009Q4,0.36
2010Q1,0.46
2010Q2,1.07
2010Q3,1.56
2010Q4,1.78
2011Q1,1.87
2011Q2,2.16
2011Q3,2.31
2011Q4,1.93
2012Q1,2.02
2012Q2,1.74
2012Q3,1.68
2012Q4,1.94
2013Q1,1.80
2013Q2,1.55
2013Q3,1.49
2013Q4,1.61
2014Q1,1.66
2014Q2,2.01
2014Q3,1.94
2014Q4,1.55
2015Q1,1.10
2015Q2,1.11
2015Q3,1.00
2015Q4,1.10
2016Q1,1.21
2016Q2,1.22
2016Q3,1.32
