Date,N_GDP
1990Q1,611.44
1990Q2,675.50
1990Q3,692.89
1990Q4,799.65
1991Q1,800.96
1991Q2,887.32
1991Q3,854.08
1991Q4,965.38
1992Q1,960.19
1992Q2,"1,039.94"
1992Q3,"1,017.03"
1992Q4,"1,121.77"
1993Q1,"1,522.84"
1993Q2,"1,546.50"
1993Q3,"1,562.26"
1993Q4,"1,648.99"
1994Q1,"1,695.82"
1994Q2,"1,767.91"
1994Q3,"1,775.16"
1994Q4,"1,880.12"
1995Q1,"1,943.93"
1995Q2,"2,124.12"
1995Q3,"2,239.48"
1995Q4,"2,520.24"
1996Q1,"2,749.38"
1996Q2,"2,903.90"
1996Q3,"3,044.15"
1996Q4,"3,382.70"
1997Q1,"3,498.44"
1997Q2,"3,728.95"
1997Q3,"3,827.13"
1997Q4,"4,166.57"
1998Q1,"4,308.09"
1998Q2,"4,460.86"
1998Q3,"4,624.15"
1998Q4,"4,952.37"
1999Q1,"5,212.53"
1999Q2,"5,408.82"
1999Q3,"5,610.44"
1999Q4,"5,927.68"
2000Q1,"6,211.21"
2000Q2,"6,385.48"
2000Q3,"6,538.88"
2000Q4,"6,721.64"
2001Q1,"6,670.58"
2001Q2,"6,724.94"
2001Q3,"6,773.52"
2001Q4,"6,912.56"
2002Q1,"6,763.59"
2002Q2,"7,201.78"
2002Q3,"7,218.95"
2002Q4,"7,457.67"
2003Q1,"7,535.76"
2003Q2,"7,613.76"
2003Q3,"7,628.18"
2003Q4,"8,004.80"
2004Q1,"8,325.19"
2004Q2,"8,628.18"
2004Q3,"8,679.24"
2004Q4,"9,140.35"
2005Q1,"9,024.52"
2005Q2,"9,391.90"
2005Q3,"9,447.46"
2005Q4,"9,901.53"
2006Q1,"10,097.26"
2006Q2,"10,552.10"
2006Q3,"10,603.25"
2006Q4,"10,899.86"
2007Q1,"10,922.49"
2007Q2,"11,258.17"
2007Q3,"11,403.05"
2007Q4,"12,029.34"
2008Q1,"11,836.95"
2008Q2,"12,480.83"
2008Q3,"12,376.87"
2008Q4,"12,332.81"
2009Q1,"11,726.69"
2009Q2,"11,789.57"
2009Q3,"12,084.46"
2009Q4,"12,774.84"
2010Q1,"12,751.25"
2010Q2,"13,082.71"
2010Q3,"13,299.12"
2010Q4,"13,995.18"
2011Q1,"13,911.61"
2011Q2,"14,161.49"
2011Q3,"14,513.64"
2011Q4,"15,613.31"
2012Q1,"15,294.56"
2012Q2,"15,427.55"
2012Q3,"15,595.69"
2012Q4,"16,189.82"
2013Q1,"15,666.38"
2013Q2,"15,871.57"
2013Q3,"16,100.88"
2013Q4,"16,833.30"
2014Q1,"16,688.23"
2014Q2,"17,044.42"
2014Q3,"17,286.40"
2014Q4,"18,004.96"
2015Q1,"17,548.99"
2015Q2,"17,919.43"
2015Q3,"18,167.59"
2015Q4,"18,872.70"
2016Q1,"18,456.63"
2016Q2,"19,103.57"
