DATE,DHCERC1Q027SBEA
1959-01-01,135.5
1959-04-01,138.5
1959-07-01,141.6
1959-10-01,144.6
1960-01-01,146.5
1960-04-01,149.1
1960-07-01,150
1960-10-01,152.4
1961-01-01,154.4
1961-04-01,157.2
1961-07-01,158.3
1961-10-01,161.8
1962-01-01,164.3
1962-04-01,167.7
1962-07-01,169.9
1962-10-01,172.7
1963-01-01,174.2
1963-04-01,176.5
1963-07-01,180.1
1963-10-01,183.4
1964-01-01,187.1
1964-04-01,190.7
1964-07-01,194.3
1964-10-01,197.9
1965-01-01,201.1
1965-04-01,204.9
1965-07-01,208.5
1965-10-01,213.3
1966-01-01,216.8
1966-04-01,221.4
1966-07-01,225.5
1966-10-01,230.4
1967-01-01,234.1
1967-04-01,237.8
1967-07-01,242.7
1967-10-01,246.8
1968-01-01,253.8
1968-04-01,261
1968-07-01,267.5
1968-10-01,273.9
1969-01-01,279.9
1969-04-01,287.2
1969-07-01,293.3
1969-10-01,301
1970-01-01,308.4
1970-04-01,314.6
1970-07-01,322.1
1970-10-01,328.6
1971-01-01,335.2
1971-04-01,343
1971-07-01,350.9
1971-10-01,359.5
1972-01-01,370
1972-04-01,377.6
1972-07-01,386.8
1972-10-01,396.8
1973-01-01,406
1973-04-01,415.6
1973-07-01,425.9
1973-10-01,435.5
1974-01-01,443.5
1974-04-01,458.1
1974-07-01,471.4
1974-10-01,486.8
1975-01-01,502.8
1975-04-01,517.7
1975-07-01,529.5
1975-10-01,547.6
1976-01-01,562.7
1976-04-01,574.2
1976-07-01,592
1976-10-01,610.6
1977-01-01,630.2
1977-04-01,645.7
1977-07-01,665.1
1977-10-01,681.7
1978-01-01,706.3
1978-04-01,731.6
1978-07-01,750.6
1978-10-01,769.8
1979-01-01,787.8
1979-04-01,813.5
1979-07-01,836.8
1979-10-01,863.7
1980-01-01,886.2
1980-04-01,901.6
1980-07-01,935.3
1980-10-01,976
1981-01-01,998.1
1981-04-01,1024.6
1981-07-01,1045.7
1981-10-01,1067.6
1982-01-01,1091.3
1982-04-01,1115.7
1982-07-01,1148.9
1982-10-01,1190.7
1983-01-01,1225.1
1983-04-01,1251.8
1983-07-01,1292.5
1983-10-01,1318.5
1984-01-01,1341.7
1984-04-01,1372.7
1984-07-01,1407.1
1984-10-01,1434.8
1985-01-01,1486.7
1985-04-01,1517.7
1985-07-01,1559.5
1985-10-01,1584.7
1986-01-01,1613.1
1986-04-01,1635.5
1986-07-01,1659.7
1986-10-01,1692.3
1987-01-01,1728.1
1987-04-01,1762.7
1987-07-01,1795.9
1987-10-01,1833.6
1988-01-01,1879.8
1988-04-01,1919.8
1988-07-01,1972.7
1988-10-01,2012.8
1989-01-01,2051.4
1989-04-01,2081
1989-07-01,2114.6
1989-10-01,2156.9
1990-01-01,2193.5
1990-04-01,2246.2
1990-07-01,2288.6
1990-10-01,2305.5
1991-01-01,2325.8
1991-04-01,2367.2
1991-07-01,2400.3
1991-10-01,2437.1
1992-01-01,2499.3
1992-04-01,2538.1
1992-07-01,2582.7
1992-10-01,2637.7
1993-01-01,2672.7
1993-04-01,2714.1
1993-07-01,2766.4
1993-10-01,2801.2
1994-01-01,2841.4
1994-04-01,2879.7
1994-07-01,2914.8
1994-10-01,2950.9
1995-01-01,2994.8
1995-04-01,3049.3
1995-07-01,3091.5
1995-10-01,3129.7
1996-01-01,3174.7
1996-04-01,3217.7
1996-07-01,3260.5
1996-10-01,3308.5
1997-01-01,3365.5
1997-04-01,3417
1997-07-01,3477.8
1997-10-01,3533.1
1998-01-01,3586.2
1998-04-01,3647.1
1998-07-01,3705.6
1998-10-01,3743.2
1999-01-01,3791
1999-04-01,3844.1
1999-07-01,3906.7
1999-10-01,3986.3
2000-01-01,4080.6
2000-04-01,4146.2
2000-07-01,4215.8
2000-10-01,4283.3
2001-01-01,4349
2001-04-01,4384.7
2001-07-01,4406.6
2001-10-01,4454.8
2002-01-01,4502.4
2002-04-01,4560.5
2002-07-01,4610.8
2002-10-01,4674.8
2003-01-01,4732.3
2003-04-01,4802.8
2003-07-01,4874.4
2003-10-01,4944.4
2004-01-01,5029.2
2004-04-01,5106.3
2004-07-01,5195.6
2004-10-01,5282.5
2005-01-01,5365.8
2005-04-01,5459.2
2005-07-01,5552.1
2005-10-01,5637.1
2006-01-01,5710.7
2006-04-01,5791.4
2006-07-01,5863.6
2006-10-01,5950.3
2007-01-01,6043.7
2007-04-01,6106.9
2007-07-01,6176.4
2007-10-01,6233.7
2008-01-01,6301.4
2008-04-01,6358.2
2008-07-01,6386.4
2008-10-01,6377.2
2009-01-01,6352.3
2009-04-01,6348.1
2009-07-01,6372.5
2009-10-01,6417.2
2010-01-01,6463.8
2010-04-01,6534.7
2010-07-01,6596.3
2010-10-01,6661.3
2011-01-01,6717.7
2011-04-01,6790.4
2011-07-01,6861.7
2011-10-01,6901.6
2012-01-01,6961.9
2012-04-01,6997.6
2012-07-01,7036.6
2012-10-01,7078.7
2013-01-01,7126.7
2013-04-01,7174.7
2013-07-01,7240
2013-10-01,7345.8
2014-01-01,7422.5
2014-04-01,7520.4
2014-07-01,7628.5
2014-10-01,7745.8
2015-01-01,7825.3
2015-04-01,7909.6
2015-07-01,7981.3
2015-10-01,8058.4
2016-01-01,8141.2
2016-04-01,8261.2
2016-07-01,8355.7
