Date,HCE
1950Q1,183.10
1950Q2,187.00
1950Q3,200.70
1950Q4,198.10
1951Q1,209.40
1951Q2,205.10
1951Q3,207.80
1951Q4,211.80
1952Q1,213.10
1952Q2,217.30
1952Q3,219.80
1952Q4,227.90
1953Q1,231.50
1953Q2,233.30
1953Q3,234.00
1953Q4,233.50
1954Q1,235.50
1954Q2,238.30
1954Q3,240.70
1954Q4,245.50
1955Q1,251.80
1955Q2,256.90
1955Q3,261.10
1955Q4,265.10
1956Q1,266.70
1956Q2,269.40
1956Q3,272.60
1956Q4,278.00
1957Q1,282.40
1957Q2,284.70
1957Q3,289.30
1957Q4,291.00
1958Q1,290.50
1958Q2,293.40
1958Q3,298.50
1958Q4,302.30
1959Q1,310.10
1959Q2,316.10
1959Q3,321.30
1959Q4,323.40
1960Q1,326.90
1960Q2,332.80
1960Q3,332.80
1960Q4,334.70
1961Q1,335.20
1961Q2,340.20
1961Q3,343.10
1961Q4,350.30
1962Q1,355.60
1962Q2,361.20
1962Q3,365.10
1962Q4,371.40
1963Q1,375.00
1963Q2,379.10
1963Q3,386.10
1963Q4,390.70
1964Q1,400.40
1964Q2,408.40
1964Q3,417.30
1964Q4,419.80
1965Q1,430.50
1965Q2,437.50
1965Q3,446.60
1965Q4,460.60
1966Q1,471.00
1966Q2,476.10
1966Q3,485.30
1966Q4,491.10
1967Q1,495.40
1967Q2,504.60
1967Q3,511.80
1967Q4,519.40
1968Q1,537.30
1968Q2,551.10
1968Q3,567.30
1968Q4,576.20
1969Q1,588.40
1969Q2,599.80
1969Q3,610.10
1969Q4,622.10
1970Q1,633.20
1970Q2,643.10
1970Q3,655.10
1970Q4,661.80
1971Q1,680.80
1971Q2,694.90
1971Q3,707.30
1971Q4,723.50
1972Q1,740.90
1972Q2,759.40
1972Q3,777.90
1972Q4,802.70
1973Q1,827.30
1973Q2,842.90
1973Q3,861.40
1973Q4,876.50
1974Q1,894.70
1974Q2,923.20
1974Q3,952.00
1974Q4,961.80
1975Q1,988.10
1975Q2,"1,016.80"
1975Q3,"1,050.60"
1975Q4,"1,079.60"
1976Q1,"1,113.40"
1976Q2,"1,133.00"
1976Q3,"1,162.40"
1976Q4,"1,196.20"
1977Q1,"1,231.70"
1977Q2,"1,259.70"
1977Q3,"1,290.90"
1977Q4,"1,329.10"
1978Q1,"1,359.10"
1978Q2,"1,416.70"
1978Q3,"1,447.70"
1978Q4,"1,487.00"
1979Q1,"1,522.60"
1979Q2,"1,563.20"
1979Q3,"1,617.70"
1979Q4,"1,661.20"
1980Q1,"1,708.00"
1980Q2,"1,710.00"
1980Q3,"1,768.70"
1980Q4,"1,836.60"
1981Q1,"1,892.40"
1981Q2,"1,924.00"
1981Q3,"1,963.40"
1981Q4,"1,978.20"
1982Q1,"2,016.20"
