DATE,IMPGS
1947-01-01,7.5
1947-04-01,8.2
1947-07-01,7.7
1947-10-01,8.3
1948-01-01,9.6
1948-04-01,10.0
1948-07-01,10.5
1948-10-01,10.1
1949-01-01,9.6
1949-04-01,9.4
1949-07-01,8.9
1949-10-01,9.1
1950-01-01,9.5
1950-04-01,10.2
1950-07-01,13.0
1950-10-01,13.7
1951-01-01,14.9
1951-04-01,15.2
1951-07-01,14.3
1951-10-01,14.0
1952-01-01,15.0
1952-04-01,14.6
1952-07-01,15.3
1952-10-01,16.3
1953-01-01,15.8
1953-04-01,16.4
1953-07-01,16.3
1953-10-01,15.5
1954-01-01,14.8
1954-04-01,16.2
1954-07-01,15.3
1954-10-01,15.5
1955-01-01,16.2
1955-04-01,17.1
1955-07-01,17.4
1955-10-01,18.1
1956-01-01,18.9
1956-04-01,19.0
1956-07-01,19.3
1956-10-01,18.5
1957-01-01,20.1
1957-04-01,20.3
1957-07-01,19.8
1957-10-01,19.6
1958-01-01,19.5
1958-04-01,20.1
1958-07-01,19.7
1958-10-01,20.8
1959-01-01,21.4
1959-04-01,22.5
1959-07-01,22.9
1959-10-01,22.5
1960-01-01,23.3
1960-04-01,23.5
1960-07-01,22.9
1960-10-01,21.7
1961-01-01,21.7
1961-04-01,21.9
1961-07-01,23.3
1961-10-01,23.9
1962-01-01,24.3
1962-04-01,24.9
1962-07-01,25.1
1962-10-01,25.6
1963-01-01,25.2
1963-04-01,25.9
1963-07-01,26.7
1963-10-01,26.8
1964-01-01,27.0
1964-04-01,27.7
1964-07-01,28.4
1964-10-01,29.3
1965-01-01,28.5
1965-04-01,31.7
1965-07-01,32.0
1965-10-01,33.9
1966-01-01,35.0
1966-04-01,36.2
1966-07-01,38.2
1966-10-01,38.8
1967-01-01,39.4
1967-04-01,39.0
1967-07-01,39.5
1967-10-01,41.7
1968-01-01,44.4
1968-04-01,45.4
1968-07-01,48.2
1968-10-01,48.2
1969-01-01,43.8
1969-04-01,52.7
1969-07-01,52.4
1969-10-01,53.1
1970-01-01,53.5
1970-04-01,55.2
1970-07-01,56.4
1970-10-01,57.9
1971-01-01,58.7
1971-04-01,63.3
1971-07-01,65.5
1971-10-01,61.9
1972-01-01,72.2
1972-04-01,71.4
1972-07-01,74.1
1972-10-01,79.2
1973-01-01,85.4
1973-04-01,89.5
1973-07-01,91.1
1973-10-01,98.7
1974-01-01,110.3
1974-04-01,129.4
1974-07-01,133.6
1974-10-01,136.6
1975-01-01,124.9
1975-04-01,115.2
1975-07-01,122.1
1975-10-01,128.7
1976-01-01,138.9
1976-04-01,147.1
1976-07-01,155.8
1976-10-01,162.7
1977-01-01,176.4
1977-04-01,183.0
1977-07-01,182.9
1977-10-01,187.4
1978-01-01,203.3
1978-04-01,208.8
1978-07-01,215.1
1978-10-01,221.8
1979-01-01,229.8
1979-04-01,243.1
