Date,US_IMP
1950Q1,9.50
1950Q2,10.20
1950Q3,13.00
1950Q4,13.70
1951Q1,14.90
1951Q2,15.20
1951Q3,14.30
1951Q4,14.00
1952Q1,15.00
1952Q2,14.60
1952Q3,15.30
1952Q4,16.30
1953Q1,15.80
1953Q2,16.40
1953Q3,16.30
1953Q4,15.50
1954Q1,14.80
1954Q2,16.20
1954Q3,15.30
1954Q4,15.50
1955Q1,16.20
1955Q2,17.10
1955Q3,17.40
1955Q4,18.10
1956Q1,18.90
1956Q2,19.00
1956Q3,19.30
1956Q4,18.50
1957Q1,20.10
1957Q2,20.30
1957Q3,19.80
1957Q4,19.60
1958Q1,19.50
1958Q2,20.10
1958Q3,19.70
1958Q4,20.80
1959Q1,21.40
1959Q2,22.50
1959Q3,22.90
1959Q4,22.50
1960Q1,23.30
1960Q2,23.50
1960Q3,22.90
1960Q4,21.70
1961Q1,21.70
1961Q2,21.90
1961Q3,23.30
1961Q4,23.90
1962Q1,24.30
1962Q2,24.90
1962Q3,25.10
1962Q4,25.60
1963Q1,25.20
1963Q2,25.90
1963Q3,26.70
1963Q4,26.80
1964Q1,27.00
1964Q2,27.70
1964Q3,28.40
1964Q4,29.30
1965Q1,28.50
1965Q2,31.70
1965Q3,32.00
1965Q4,33.90
1966Q1,35.00
1966Q2,36.20
1966Q3,38.20
1966Q4,38.80
1967Q1,39.40
1967Q2,39.00
1967Q3,39.50
1967Q4,41.70
1968Q1,44.40
1968Q2,45.40
1968Q3,48.20
1968Q4,48.20
1969Q1,43.80
1969Q2,52.70
1969Q3,52.40
1969Q4,53.10
1970Q1,53.50
1970Q2,55.20
1970Q3,56.40
1970Q4,57.90
1971Q1,58.70
1971Q2,63.30
1971Q3,65.50
1971Q4,61.90
1972Q1,72.20
1972Q2,71.40
1972Q3,74.10
1972Q4,79.20
1973Q1,85.40
1973Q2,89.50
1973Q3,91.10
1973Q4,98.70
1974Q1,110.30
1974Q2,129.40
1974Q3,133.60
1974Q4,136.60
1975Q1,124.90
1975Q2,115.20
1975Q3,122.10
1975Q4,128.70
1976Q1,138.90
1976Q2,147.10
1976Q3,155.80
1976Q4,162.70
1977Q1,176.40
1977Q2,183.00
1977Q3,182.90
1977Q4,187.40
1978Q1,203.30
1978Q2,208.80
1978Q3,215.10
1978Q4,221.80
1979Q1,229.80
1979Q2,243.10
1979Q3,257.30
1979Q4,280.50
1980Q1,304.30
1980Q2,292.60
1980Q3,279.20
1980Q4,299.20
1981Q1,319.70
1981Q2,322.00
1981Q3,309.90
1981Q4,319.40
1982Q1,309.50
1982Q2,299.10
1982Q3,309.30
1982Q4,294.90
1983Q1,295.30
1983Q2,318.00
1983Q3,343.40
1983Q4,358.00
1984Q1,388.00
1984Q2,406.50
