DATE,IPB50001SQ
1919-01-01,4.8629
1919-04-01,4.9001
1919-07-01,5.4404
1919-10-01,5.3100
1920-01-01,5.8038
1920-04-01,5.5336
1920-07-01,5.4311
1920-10-01,4.7138
1921-01-01,4.0431
1921-04-01,4.0058
1921-07-01,4.0990
1921-10-01,4.3691
1922-01-01,4.7138
1922-04-01,5.0305
1922-07-01,5.3007
1922-10-01,5.9808
1923-01-01,6.1578
1923-04-01,6.4931
1923-07-01,6.3068
1923-10-01,6.1019
1924-01-01,6.1857
1924-04-01,5.7013
1924-07-01,5.5615
1924-10-01,6.0273
1925-01-01,6.3720
1925-04-01,6.3907
1925-07-01,6.4093
1925-10-01,6.6888
1926-01-01,6.7074
1926-04-01,6.7540
1926-07-01,6.9123
1926-10-01,6.9869
1927-01-01,6.9962
1927-04-01,6.9310
1927-07-01,6.8099
1927-10-01,6.6049
1928-01-01,6.8192
1928-04-01,6.9217
1928-07-01,7.1825
1928-10-01,7.5458
1929-01-01,7.7880
1929-04-01,8.0489
1929-07-01,8.1700
1929-10-01,7.5924
1930-01-01,7.1825
1930-04-01,6.9030
1930-07-01,6.2975
1930-10-01,5.8690
1931-01-01,5.7572
1931-04-01,5.7665
1931-07-01,5.3473
1931-10-01,4.8722
1932-01-01,4.6020
1932-04-01,4.0803
1932-07-01,3.9872
1932-10-01,4.3039
1933-01-01,4.0990
1933-04-01,4.9374
1933-07-01,5.9249
1933-10-01,5.1423
1934-01-01,5.4777
1934-04-01,5.7665
1934-07-01,5.1982
1934-10-01,5.3473
1935-01-01,6.1019
1935-04-01,6.0366
1935-07-01,6.2975
1935-10-01,6.8005
1936-01-01,6.7074
1936-04-01,7.2663
1936-07-01,7.6669
1936-10-01,8.1420
1937-01-01,8.4960
1937-04-01,8.6451
1937-07-01,8.5053
1937-10-01,6.9775
1938-01-01,6.1391
1938-04-01,5.9342
1938-07-01,6.5490
1938-10-01,7.1732
1939-01-01,7.3688
1939-04-01,7.4154
1939-07-01,7.9743
1939-10-01,8.8966
1940-01-01,8.6078
1940-04-01,8.8128
1940-07-01,9.2972
1940-10-01,9.8468
1941-01-01,10.7132
1941-04-01,11.4305
1941-07-01,11.8870
1941-10-01,12.1478
1942-01-01,12.7440
1942-04-01,12.5764
1942-07-01,13.2750
1942-10-01,14.3929
1943-01-01,15.1662
1943-04-01,15.6133
1943-07-01,16.4331
1943-10-01,17.1504
1944-01-01,17.3554
1944-04-01,17.2902
1944-07-01,17.2995
1944-10-01,17.2436
1945-01-01,16.9175
