Dates,M2
1959Q1,289.20
1959Q2,294.10
1959Q3,296.70
1959Q4,297.80
1960Q1,299.40
1960Q2,302.30
1960Q3,308.40
1960Q4,312.40
1961Q1,318.30
1961Q2,324.30
1961Q3,329.50
1961Q4,335.50
1962Q1,343.10
1962Q2,349.30
1962Q3,354.90
1962Q4,362.70
1963Q1,370.70
1963Q2,378.40
1963Q3,386.00
1963Q4,393.20
1964Q1,399.80
1964Q2,407.10
1964Q3,416.90
1964Q4,424.70
1965Q1,433.20
1965Q2,440.10
1965Q3,449.50
1965Q4,459.20
1966Q1,467.20
1966Q2,471.20
1966Q3,475.40
1966Q4,480.20
1967Q1,489.70
1967Q2,502.00
1967Q3,514.70
1967Q4,524.80
1968Q1,533.20
1968Q2,542.60
1968Q3,553.60
1968Q4,566.80
1969Q1,574.40
1969Q2,578.50
1969Q3,582.10
1969Q4,587.90
1970Q1,587.30
1970Q2,595.20
1970Q3,611.20
1970Q4,626.50
1971Q1,649.90
1971Q2,673.00
1971Q3,692.50
1971Q4,710.30
1972Q1,733.50
1972Q2,749.70
1972Q3,778.30
1972Q4,802.30
1973Q1,815.30
1973Q2,833.30
1973Q3,839.30
1973Q4,855.50
1974Q1,870.10
1974Q2,877.80
1974Q3,887.90
1974Q4,902.10
1975Q1,925.00
1975Q2,963.00
1975Q3,991.50
1975Q4,"1,016.20"
1976Q1,"1,050.00"
1976Q2,"1,077.60"
1976Q3,"1,110.80"
1976Q4,"1,152.00"
1977Q1,"1,188.50"
1977Q2,"1,217.80"
1977Q3,"1,246.20"
1977Q4,"1,270.30"
1978Q1,"1,292.20"
1978Q2,"1,318.50"
1978Q3,"1,345.00"
1978Q4,"1,366.00"
1979Q1,"1,387.80"
1979Q2,"1,423.00"
1979Q3,"1,454.10"
1979Q4,"1,473.70"
1980Q1,"1,499.80"
1980Q2,"1,529.20"
1980Q3,"1,574.00"
1980Q4,"1,599.80"
1981Q1,"1,636.60"
1981Q2,"1,670.30"
1981Q3,"1,706.00"
1981Q4,"1,755.50"
1982Q1,"1,786.50"
1982Q2,"1,826.00"
1982Q3,"1,862.40"
1982Q4,"1,909.30"
1983Q1,"2,017.80"
1983Q2,"2,055.80"
1983Q3,"2,085.30"
1983Q4,"2,125.70"
1984Q1,"2,177.50"
1984Q2,"2,217.40"
1984Q3,"2,246.50"
1984Q4,"2,308.80"
1985Q1,"2,368.50"
1985Q2,"2,415.20"
1985Q3,"2,458.80"
1985Q4,"2,494.60"
1986Q1,"2,535.60"
1986Q2,"2,608.00"
1986Q3,"2,671.20"
1986Q4,"2,731.60"
1987Q1,"2,757.00"
1987Q2,"2,778.20"
1987Q3,"2,803.20"
1987Q4,"2,831.00"
1988Q1,"2,895.20"
1988Q2,"2,942.80"
1988Q3,"2,962.60"
1988Q4,"2,993.90"
1989Q1,"3,005.20"
1989Q2,"3,033.40"
1989Q3,"3,098.50"
1989Q4,"3,158.40"
1990Q1,"3,195.60"
1990Q2,"3,218.70"
1990Q3,"3,259.10"
1990Q4,"3,276.20"
1991Q1,"3,326.30"
1991Q2,"3,356.60"
1991Q3,"3,358.90"
1991Q4,"3,376.30"
1992Q1,"3,407.70"
1992Q2,"3,397.20"
1992Q3,"3,414.00"
1992Q4,"3,428.70"
1993Q1,"3,416.30"
1993Q2,"3,446.90"
1993Q3,"3,456.70"
1993Q4,"3,479.10"
1994Q1,"3,485.90"
1994Q2,"3,487.20"
1994Q3,"3,493.00"
1994Q4,"3,493.40"
1995Q1,"3,497.30"
1995Q2,"3,555.90"
1995Q3,"3,609.40"
1995Q4,"3,637.10"
1996Q1,"3,695.20"
1996Q2,"3,730.40"
1996Q3,"3,760.80"
1996Q4,"3,816.60"
1997Q1,"3,856.50"
1997Q2,"3,901.20"
1997Q3,"3,971.80"
