DATE,MABMM301USQ189S
1990-01-01,3180366666666.67
1990-04-01,3206766666666.67
1990-07-01,3241533333333.33
1990-10-01,3265566666666.67
1991-01-01,3305133333333.33
1991-04-01,3342533333333.33
1991-07-01,3355066666666.67
1991-10-01,3365400000000
1992-01-01,3394066666666.67
1992-04-01,3396166666666.67
1992-07-01,3399700000000
1992-10-01,3423466666666.67
1993-01-01,3413200000000
1993-04-01,3428300000000
1993-07-01,3444566666666.67
1993-10-01,3464966666666.67
1994-01-01,3474633333333.33
1994-04-01,3483700000000
1994-07-01,3485800000000
1994-10-01,3484766666666.67
1995-01-01,3488933333333.33
1995-04-01,3521600000000
1995-07-01,3583366666666.67
1995-10-01,3618033333333.33
1996-01-01,3662500000000
1996-04-01,3706233333333.33
1996-07-01,3741166666666.67
1996-10-01,3784200000000
1997-01-01,3832533333333.33
1997-04-01,3875366666666.67
1997-07-01,3935800000000
1997-10-01,3997833333333.33
1998-01-01,4070633333333.33
1998-04-01,4146633333333.33
1998-07-01,4216300000000
1998-10-01,4324633333333.33
1999-01-01,4401233333333.33
1999-04-01,4464566666666.67
1999-07-01,4530800000000
1999-10-01,4592266666666.67
2000-01-01,4664633333333.33
2000-04-01,4742433333333.33
2000-07-01,4799233333333.33
2000-10-01,4870666666666.67
2001-01-01,4997633333333.33
2001-04-01,5122666666666.67
2001-07-01,5239166666666.67
2001-10-01,5356233333333.33
2002-01-01,5449300000000
2002-04-01,5491600000000
2002-07-01,5596200000000
2002-10-01,5710033333333.33
2003-01-01,5803133333333.33
2003-04-01,5919266666666.67
2003-07-01,6041866666666.67
2003-10-01,6034900000000
2004-01-01,6081766666666.67
2004-04-01,6212766666666.67
2004-07-01,6283600000000
2004-10-01,6366733333333.33
2005-01-01,6403133333333.33
2005-04-01,6448800000000
2005-07-01,6540266666666.67
2005-10-01,6629300000000
2006-01-01,6717300000000
2006-04-01,6787866666666.67
2006-07-01,6883433333333.33
2006-10-01,7002566666666.67
2007-01-01,7104533333333.33
2007-04-01,7221966666666.67
2007-07-01,7333233333333.33
2007-10-01,7419133333333.33
2008-01-01,7562933333333.33
2008-04-01,7685800000000
2008-07-01,7777700000000
2008-10-01,8037466666666.67
2009-01-01,8296500000000
2009-04-01,8387166666666.67
2009-07-01,8414866666666.67
2009-10-01,8469933333333.33
2010-01-01,8471533333333.33
2010-04-01,8549400000000
2010-07-01,8632566666666.67
2010-10-01,8750466666666.67
2011-01-01,8861933333333.34
2011-04-01,9024400000000
2011-07-01,9435366666666.66
2011-10-01,9595233333333.34
2012-01-01,9758100000000
2012-04-01,9894366666666.66
2012-07-01,10102933333333.3
2012-10-01,10320600000000
2013-01-01,10473133333333.3
2013-04-01,10592666666666.7
2013-07-01,10754933333333.3
2013-10-01,10945066666666.7
2014-01-01,11106333333333.3
2014-04-01,11278133333333.3
2014-07-01,11442166666666.7
2014-10-01,11569466666666.7
