DATE,AMBSL
1990-01-01,278.594
1990-02-01,279.376
1990-03-01,281.840
1990-04-01,285.183
1990-05-01,286.238
1990-06-01,289.273
1990-07-01,290.586
1990-08-01,293.961
1990-09-01,297.191
1990-10-01,298.746
1990-11-01,300.742
1990-12-01,304.070
1991-01-01,306.308
1991-02-01,309.768
1991-03-01,312.609
1991-04-01,313.545
1991-05-01,315.559
1991-06-01,316.904
1991-07-01,319.196
1991-08-01,320.501
1991-09-01,322.320
1991-10-01,324.084
1991-11-01,326.800
1991-12-01,330.553
1992-01-01,331.412
1992-02-01,333.981
1992-03-01,337.468
1992-04-01,340.151
1992-05-01,343.243
1992-06-01,344.452
1992-07-01,347.575
1992-08-01,351.806
1992-09-01,356.183
1992-10-01,359.975
1992-11-01,363.722
1992-12-01,365.544
1993-01-01,368.084
1993-02-01,371.289
1993-03-01,373.391
1993-04-01,376.826
1993-05-01,380.840
1993-06-01,384.829
1993-07-01,387.720
1993-08-01,391.204
1993-09-01,396.451
1993-10-01,400.929
1993-11-01,402.665
1993-12-01,405.320
1994-01-01,409.033
1994-02-01,413.183
1994-03-01,415.647
1994-04-01,418.864
1994-05-01,420.630
1994-06-01,423.468
1994-07-01,427.291
1994-08-01,428.248
1994-09-01,430.036
1994-10-01,432.825
1994-11-01,434.594
1994-12-01,434.788
1995-01-01,437.433
1995-02-01,438.536
1995-03-01,442.550
1995-04-01,445.738
1995-05-01,448.642
1995-06-01,448.699
1995-07-01,449.192
1995-08-01,450.953
1995-09-01,451.922
1995-10-01,453.234
1995-11-01,453.333
1995-12-01,455.109
1996-01-01,456.905
1996-02-01,455.390
1996-03-01,459.730
1996-04-01,460.272
1996-05-01,462.094
1996-06-01,464.418
1996-07-01,467.196
1996-08-01,469.842
1996-09-01,472.090
1996-10-01,473.726
1996-11-01,475.518
1996-12-01,479.042
1997-01-01,480.873
1997-02-01,483.285
1997-03-01,485.066
1997-04-01,488.015
1997-05-01,489.756
1997-06-01,490.995
1997-07-01,494.528
1997-08-01,497.406
1997-09-01,499.075
1997-10-01,502.162
1997-11-01,506.079
1997-12-01,509.573
1998-01-01,512.028
1998-02-01,513.839
1998-03-01,517.004
1998-04-01,519.258
1998-05-01,519.728
1998-06-01,522.705
1998-07-01,523.199
1998-08-01,526.600
1998-09-01,531.331
1998-10-01,536.004
1998-11-01,538.870
1998-12-01,541.643
1999-01-01,547.143
1999-02-01,551.626
1999-03-01,555.875
1999-04-01,558.941
1999-05-01,565.079
1999-06-01,567.568
1999-07-01,569.079
1999-08-01,572.503
1999-09-01,580.197
1999-10-01,589.803
1999-11-01,604.237
1999-12-01,628.121
2000-01-01,618.603
2000-02-01,602.285
2000-03-01,600.018
2000-04-01,601.789
2000-05-01,604.233
2000-06-01,605.473
2000-07-01,606.453
2000-08-01,605.651
2000-09-01,606.409
2000-10-01,610.390
2000-11-01,611.281
2000-12-01,612.766
2001-01-01,616.736
2001-02-01,619.425
2001-03-01,622.211
2001-04-01,625.428
2001-05-01,630.352
2001-06-01,632.623
2001-07-01,638.380
2001-08-01,645.828
2001-09-01,671.483
2001-10-01,663.791
2001-11-01,661.227
2001-12-01,665.580
2002-01-01,673.731
2002-02-01,681.875
2002-03-01,685.137
2002-04-01,688.997
2002-05-01,692.751
2002-06-01,697.001
2002-07-01,700.996
2002-08-01,702.801
2002-09-01,704.272
2002-10-01,710.710
2002-11-01,712.616
2002-12-01,714.044
2003-01-01,719.608
2003-02-01,728.909
2003-03-01,732.452
2003-04-01,736.658
2003-05-01,738.858
2003-06-01,739.912
2003-07-01,741.590
2003-08-01,745.660
2003-09-01,745.832
2003-10-01,753.928
2003-11-01,754.984
2003-12-01,752.954
2004-01-01,756.817
2004-02-01,763.239
2004-03-01,764.399
2004-04-01,768.073
2004-05-01,770.181
2004-06-01,775.415
2004-07-01,780.956
2004-08-01,781.816
2004-09-01,786.286
2004-10-01,792.210
2004-11-01,793.875
2004-12-01,787.956
2005-01-01,793.810
2005-02-01,800.420
2005-03-01,800.908
2005-04-01,802.323
2005-05-01,800.432
2005-06-01,804.945
2005-07-01,806.598
2005-08-01,808.058
2005-09-01,812.421
2005-10-01,816.724
2005-11-01,817.468
2005-12-01,815.432
2006-01-01,825.165
2006-02-01,832.407
2006-03-01,834.039
2006-04-01,835.321
2006-05-01,836.966
2006-06-01,836.885
2006-07-01,834.993
2006-08-01,834.639
2006-09-01,834.219
2006-10-01,837.892
2006-11-01,840.318
2006-12-01,837.701
2007-01-01,843.491
2007-02-01,847.251
2007-03-01,848.167
2007-04-01,848.943
2007-05-01,849.591
2007-06-01,851.144
2007-07-01,851.841
2007-08-01,853.386
2007-09-01,851.442
2007-10-01,856.400
2007-11-01,857.422
2007-12-01,847.359
2008-01-01,851.357
2008-02-01,857.093
2008-03-01,860.649
2008-04-01,855.639
2008-05-01,860.666
2008-06-01,863.877
2008-07-01,871.626
2008-08-01,872.285
2008-09-01,936.480
2008-10-01,1142.175
2008-11-01,1480.762
2008-12-01,1669.258
2009-01-01,1730.157
2009-02-01,1590.153
2009-03-01,1668.479
2009-04-01,1787.700
2009-05-01,1799.215
2009-06-01,1703.999
2009-07-01,1693.734
2009-08-01,1728.119
2009-09-01,1819.736
2009-10-01,1975.358
2009-11-01,2044.679
2009-12-01,2017.335
2010-01-01,2010.140
2010-02-01,2151.003
2010-03-01,2106.618
2010-04-01,2044.364
2010-05-01,2034.543
2010-06-01,2024.062
2010-07-01,2015.250
2010-08-01,2014.709
2010-09-01,1981.231
2010-10-01,1998.573
2010-11-01,1991.182
2010-12-01,2009.337
2011-01-01,2057.191
2011-02-01,2243.630
2011-03-01,2428.256
2011-04-01,2531.748
2011-05-01,2590.416
2011-06-01,2671.511
2011-07-01,2703.572
2011-08-01,2680.451
2011-09-01,2656.646
2011-10-01,2678.524
2011-11-01,2623.176
2011-12-01,2603.699
2012-01-01,2647.709
2012-02-01,2733.285
2012-03-01,2684.395
2012-04-01,2673.892
2012-05-01,2635.115
2012-06-01,2644.942
2012-07-01,2669.364
2012-08-01,2669.674
2012-09-01,2616.543
2012-10-01,2649.063
2012-11-01,2665.383
2012-12-01,2657.122
2013-01-01,2749.139
2013-02-01,2874.615
2013-03-01,2973.583
2013-04-01,3045.787
2013-05-01,3139.133
2013-06-01,3222.290
2013-07-01,3310.257
2013-08-01,3419.556
2013-09-01,3508.965
2013-10-01,3630.629
2013-11-01,3702.072
2013-12-01,3685.270
2014-01-01,3733.494
2014-02-01,3869.556
2014-03-01,3925.808
2014-04-01,3965.126
2014-05-01,3932.467
2014-06-01,3970.902
2014-07-01,4009.009
2014-08-01,4097.202
2014-09-01,4072.096
2014-10-01,4041.363
2014-11-01,3848.057
2014-12-01,3898.486
2015-01-01,4019.908
2015-02-01,3866.696
2015-03-01,4081.569
2015-04-01,4089.182
2015-05-01,3959.071
2015-06-01,3951.199
2015-07-01,3989.594
2015-08-01,4003.408
2015-09-01,4049.670
2015-10-01,4099.049
2015-11-01,4026.099
2015-12-01,3816.135
2016-01-01,3779.883
2016-02-01,3909.017
2016-03-01,3926.930
2016-04-01,3912.380
2016-05-01,3858.171
2016-06-01,3845.778
2016-07-01,3788.538
2016-08-01,3842.516
2016-09-01,3749.516
2016-10-01,3607.498
